# wavelength (nm)	photon flux (phot/s/cm^2/nm)
0.50	28194.48
1.50	2597357.16
2.50	9095313.62
3.50	11061541.95
4.50	22236789.26
5.50	40144070.56
6.50	98996656.83
7.50	90932113.42
8.50	93033880.34
9.50	81973368.58
10.50	65422979.54
11.50	46593752.07
12.50	28053148.02
13.50	30807795.18
14.50	71729759.48
15.50	76039028.77
16.50	110817812.40
17.50	663802819.22
18.50	632365921.40
19.50	541138847.36
20.50	419739238.84
21.50	326313024.54
22.50	387460375.03
23.50	226236921.97
24.50	297806445.00
25.50	533338322.64
26.50	176568504.35
27.50	245334084.89
28.50	381143594.37
29.50	123701597.70
30.50	3150245768.53
31.50	228556257.20
32.50	79353540.06
33.50	307032907.07
34.50	321062611.65
35.50	241835076.73
36.50	520558824.35
37.50	62089957.78
38.50	62463055.93
39.50	38449585.90
40.50	70229270.19
41.50	87458653.93
42.50	30201166.39
43.50	131920971.18
44.50	55668554.09
45.50	44901523.20
46.50	186180333.91
47.50	63459323.80
48.50	114454892.50
49.50	301407829.08
50.50	190622585.97
51.50	43332797.22
52.50	120543546.57
53.50	96161806.35
54.50	37679633.58
55.50	353039306.75
56.50	60144955.34
57.50	39490492.27
58.50	659450589.58
59.50	70867215.03
60.50	279002738.09
61.50	118277626.41
62.50	686028043.81
63.50	229776914.10
64.50	16208930.97
65.50	20713732.33
66.50	28464736.24
67.50	29287686.42
68.50	91030219.39
69.50	41694021.79
70.50	209700992.59
71.50	56720986.27
72.50	48459957.31
73.50	55058872.01
74.50	73188743.93
75.50	87990287.75
76.50	304990126.74
77.50	278535839.38
78.50	376685870.20
79.50	258402782.14
80.50	203397425.30
81.50	240710107.60
82.50	282307093.73
83.50	751492621.17
84.50	392071847.45
85.50	453185981.83
86.50	488759574.87
87.50	555638240.90
88.50	653590702.39
89.50	773282373.34
90.50	1034284880.85
91.50	757816755.48
92.50	215273121.97
93.50	220957061.38
94.50	258841274.95
95.50	211389021.56
96.50	165142886.75
97.50	2924605438.45
98.50	329427819.07
99.50	484808085.28
100.50	231688866.60
101.50	295716459.60
102.50	2456560614.27
103.50	2228636749.46
104.50	415508957.46
105.50	351155301.33
106.50	378206696.65
107.50	437949974.03
108.50	651124479.71
109.50	488692305.84
110.50	569451302.67
111.50	538846047.92
112.50	568229668.54
113.50	377266757.07
114.50	464798286.54
115.50	553802792.73
116.50	654788061.77
117.50	2126600271.60
118.50	838609327.03
119.50	1385118669.79
120.50	4067607249.45
121.50	176167474577.86
122.50	1764581567.16
123.50	1147066663.24
124.50	841704410.29
125.50	758176671.07
126.50	1036212246.76
127.50	552278359.78
128.50	439374910.60
129.50	511210436.88
130.50	4386027503.71
131.50	716277839.17
132.50	574833729.80
133.50	5393839178.40
134.50	546199885.60
135.50	1236925961.10
136.50	781385802.72
137.50	850398817.83
138.50	843397800.30
139.50	2282935310.57
140.50	1975491630.93
141.50	1203792652.97
142.50	1307800734.16
143.50	1504482733.94
144.50	1480461112.19
145.50	1593044427.65
146.50	1980372343.57
147.50	2478776537.05
148.50	2557253093.61
149.50	2321735396.15
150.50	2616785555.63
151.50	2862536858.32
152.50	3594327270.57
153.50	4003282007.79
154.50	6883563798.77
155.50	6143097411.21
156.50	6191395611.19
157.50	5530395581.15
158.50	5535875859.63
159.50	5531349437.58
160.50	6240786567.85
161.50	7402359862.05
162.50	8601800497.05
163.50	9261056121.62
164.50	10775735292.78
165.50	17227080926.37
166.50	11827125256.96
167.50	14069655080.08
168.50	15554054703.37
169.50	20607404868.62
170.50	23831627867.51
171.50	24013116681.97
172.50	26475694838.95
173.50	26841562675.49
174.50	33018187869.45
175.50	40545014133.13
176.50	44057375812.90
177.50	53519143912.87
178.50	59934863266.37
179.50	59866097600.16
180.50	80235796787.16
181.50	95079044552.85
182.50	91368083933.23
183.50	98233831869.82
184.50	85530485773.68
185.50	97427565288.53
186.50	112673933520.43
187.50	126723371423.24
188.50	136382541221.26
189.50	64980143338.32
190.50	165094222064.30
191.50	176879322282.61
192.50	190917594104.34
193.50	148185354066.40
194.50	243637506334.33
195.50	238826351689.19
196.50	270531833960.76
197.50	276755207262.89
198.50	279802003854.91
199.50	305064601287.77
200.50	334402686386.93
201.50	374840984737.34
202.50	372079343615.37
203.50	432851559075.05
204.50	480724762399.21
205.50	496372767655.82
206.50	516557215863.93
207.50	599146009242.99
208.50	690315063365.65
209.50	997640791521.98
210.50	1305029659505.38
211.50	1581394776005.17
212.50	1517028132818.44
213.50	1374816587341.81
214.50	1958936240456.91
215.50	1614595093276.39
216.50	1561143314088.56
217.50	1511019858596.88
218.50	2155382029605.94
219.50	2271885783116.29
220.50	2252110370002.01
221.50	1605937842252.93
222.50	2379029625025.52
223.50	3036533450905.05
224.50	2815545595114.79
225.50	2489047932443.78
226.50	1761271571391.12
227.50	1788488614351.04
228.50	2576371805645.76
229.50	2193192015609.81
230.50	2688018863065.54
231.50	2329706589031.07
232.50	2523402558082.24
233.50	2133578866449.52
234.50	1732638842991.46
235.50	2802359345663.45
236.50	2164281758315.56
237.50	2641655875360.75
238.50	1820105224562.50
239.50	2258907252551.96
240.50	2082827333156.99
241.50	2442665286171.54
242.50	3676753858926.89
243.50	3362400780974.77
244.50	3208819022024.80
245.50	2544053745647.65
246.50	2551338988513.52
247.50	2959464407899.03
248.50	2300542067790.77
249.50	2941045270240.20
250.50	3107648937046.37
251.50	2419413906501.73
252.50	2142037076643.55
253.50	2756260113293.28
254.50	3086398422010.10
255.50	4401986105476.67
256.50	5303170132260.88
257.50	6616981099050.35
258.50	7040611477073.75
259.50	5934444896818.49
260.50	4827453136498.15
261.50	4726044984881.67
262.50	6012131316528.79
263.50	8818251994211.00
