wavelength (nm)	photon flux (phot/s/cm^2/nm)
0.50	13994.79
1.50	1703228.20
2.50	7266763.95
3.50	8890639.11
4.50	18006827.69
5.50	32620220.05
6.50	77384672.39
7.50	71185601.70
8.50	73703250.27
9.50	65912805.95
10.50	52972355.23
11.50	38285187.78
12.50	22522216.58
13.50	25118114.73
14.50	58292087.49
15.50	60148351.52
16.50	91704130.40
17.50	562419447.77
18.50	519469299.20
19.50	431633132.43
20.50	327488708.20
21.50	255578784.59
22.50	314478261.91
23.50	187091995.40
24.50	244556505.87
25.50	433945573.96
26.50	139525500.05
27.50	197719865.25
28.50	295989330.04
29.50	106167010.15
30.50	2716529109.71
31.50	204446533.63
32.50	73205643.20
33.50	250725750.28
34.50	262015466.54
35.50	205099484.71
36.50	440276057.38
37.50	48040363.32
38.50	49800573.33
39.50	30230645.55
40.50	56540480.88
41.50	63625729.68
42.50	21833655.81
43.50	108428755.58
44.50	41740764.19
45.50	34949508.45
46.50	153960995.21
47.50	50907259.13
48.50	95922374.47
49.50	236453973.76
50.50	161865203.36
51.50	34044591.73
52.50	94170545.01
53.50	80449991.67
54.50	30239498.23
55.50	288882350.73
56.50	49464592.80
57.50	32182506.11
58.50	540774392.69
59.50	57886351.64
60.50	212327352.93
61.50	99016425.85
62.50	536574815.80
63.50	195657856.35
64.50	14104302.70
65.50	17796324.62
66.50	24377425.90
67.50	25225793.23
68.50	77255871.79
69.50	36493874.43
70.50	175172105.70
71.50	48763627.57
72.50	41879725.98
73.50	47869477.40
74.50	63728673.73
75.50	76916969.81
76.50	240912491.45
77.50	228284037.79
78.50	307000359.42
79.50	217325004.63
80.50	151435388.09
81.50	180635830.20
82.50	212983359.51
83.50	612068194.88
84.50	322558857.45
85.50	372992592.78
86.50	402121394.49
87.50	458211614.73
88.50	541213670.89
89.50	644872152.25
90.50	868379840.37
91.50	632248631.25
92.50	186302219.11
93.50	189756584.54
94.50	220975298.96
95.50	180805917.15
96.50	137433427.44
97.50	2440848472.34
98.50	283270983.56
99.50	413850571.72
100.50	193797999.62
101.50	252550967.11
102.50	2074153563.90
103.50	1883136709.32
104.50	339390001.26
105.50	297732010.28
106.50	321580831.37
107.50	374215157.18
108.50	554275584.12
109.50	414979964.60
110.50	485731196.00
111.50	459285333.60
112.50	486377615.65
113.50	320860919.37
114.50	391467224.83
115.50	463156757.66
116.50	547583512.22
117.50	1789600725.77
118.50	712568239.62
119.50	1178886296.01
120.50	3490400515.33
121.50	150119948775.30
122.50	1492662571.75
123.50	964678087.56
124.50	708838122.63
125.50	641924388.26
126.50	887111274.55
127.50	467982085.68
128.50	371594616.31
129.50	431659717.20
130.50	3734517303.19
131.50	603947318.35
132.50	485365485.69
133.50	4588830316.83
134.50	459100335.33
135.50	1041109733.88
136.50	658694474.27
137.50	716587601.18
138.50	710890956.40
139.50	1926176768.00
140.50	1663219172.07
141.50	1014883112.22
142.50	1102129832.95
143.50	1267925019.80
144.50	1248369044.30
145.50	1341805015.71
146.50	1668529197.19
147.50	2084778505.41
148.50	2149829957.27
149.50	1952159593.00
150.50	2199795116.39
151.50	2408154456.18
152.50	3032113458.22
153.50	3376034515.42
154.50	5755176205.78
155.50	5145796410.67
156.50	5208536628.09
157.50	4655328328.68
158.50	4663320256.09
159.50	4658373908.87
160.50	5259033896.09
161.50	6236854203.06
162.50	7248215197.29
163.50	7802232162.75
164.50	9062790526.12
165.50	14521147654.81
166.50	9942203981.02
167.50	11867574142.94
168.50	13090378976.17
169.50	17356801290.25
170.50	20085191824.57
171.50	20251555113.89
172.50	22327836606.63
173.50	22657267802.94
174.50	27872388029.70
175.50	34277785879.83
176.50	37254938014.21
177.50	45320835318.01
178.50	50744759064.26
179.50	50712091947.19
180.50	67346440709.24
181.50	79967034014.97
182.50	76710392773.21
183.50	82535367794.03
184.50	71819704389.44
185.50	81886279197.47
186.50	94684560445.75
187.50	106558156235.86
188.50	114670438780.68
189.50	45478346739.74
190.50	137489288932.99
191.50	147303836218.53
192.50	158994808721.89
193.50	123407704437.64
194.50	202899575069.73
195.50	198892879845.41
196.50	225296979021.56
197.50	230479759856.51
198.50	233017110296.29
199.50	254055620997.72
200.50	278488168718.06
201.50	312164894749.65
202.50	309865019748.58
203.50	360475686711.71
204.50	400344148500.88
205.50	413375695511.13
206.50	430185159809.38
207.50	498964517036.66
208.50	574889454125.83
209.50	830828125429.37
210.50	1086819379129.90
211.50	1316974274185.15
212.50	1263370193484.50
213.50	1144937434171.89
214.50	1631388109152.52
215.50	1344623261272.01
216.50	1300109001349.12
217.50	1258366545627.49
218.50	1794986759221.93
219.50	1892010253005.52
220.50	1875541430211.83
221.50	1337413564454.96
222.50	1981238879261.82
223.50	2528803369166.78
224.50	2344766261292.74
225.50	2072861339862.86
226.50	1466774384594.39
227.50	1489440543570.94
228.50	2145584037745.89
229.50	1826474645504.31
230.50	2238562909714.69
231.50	1940163007180.40
232.50	2101471626713.19
233.50	1776829240676.56
234.50	1442929252895.31
235.50	2333784846933.79
236.50	1802398389724.09
237.50	2199952144706.47
238.50	1515770630730.20
239.50	1881201825452.01
240.50	1734563726248.49
241.50	2034234203340.08
242.50	3061974352128.43
243.50	2800183354108.53
244.50	2672281562228.22
245.50	2118669788214.47
246.50	2124736886437.58
247.50	2464620820624.80
248.50	1915875002202.02
249.50	2449281494343.07
250.50	2588027838075.74
251.50	2014870620426.40
252.50	1783873177712.53
253.50	2295393735484.33
254.50	2570330560937.48
255.50	3665942587010.50
256.50	4416442207718.44
257.50	5510574596833.15
258.50	5863370949828.27
259.50	4942163322698.24
260.50	4020268491503.94
261.50	3935816507155.70
262.50	5006860018149.87
263.50	7343777275523.19
264.50	11506010943350.95
265.50	12018633611965.47
266.50	11710510334850.47
267.50	11771658987946.52
268.50	11784915269890.21
269.50	10525378452289.47
270.50	13296730957763.08
