# AU: 0.72333199
# Source data: solarmax_20150604_and_20020322_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
0.50	7736802.69
1.50	349779808.11
2.50	184696961.47
3.50	148350927.94
4.50	301926156.01
5.50	318170635.27
6.50	431107004.37
7.50	898762901.71
8.50	876537736.90
9.50	750542639.26
10.50	574866790.47
11.50	404159724.42
12.50	263673620.22
13.50	289825617.68
14.50	642479926.47
15.50	761223644.30
16.50	1583171968.12
17.50	8290248994.21
18.50	5453434357.34
19.50	5297675800.19
20.50	4403678601.42
21.50	4006404061.16
22.50	3778258079.37
23.50	2242649920.69
24.50	3061907576.22
25.50	5153678752.44
26.50	2269558076.20
27.50	1758284445.98
28.50	3769632793.38
29.50	1745055289.15
30.50	21285878685.42
31.50	2284355649.06
32.50	1034312187.33
33.50	5384545290.66
34.50	2965564679.16
35.50	3471211872.27
36.50	5734627593.47
37.50	1082098684.26
38.50	520621975.45
39.50	349053296.83
40.50	430089923.75
41.50	713260881.89
42.50	335339574.99
43.50	548923689.44
44.50	473198317.91
45.50	412850993.77
46.50	938585065.57
47.50	528046589.79
48.50	870899224.04
49.50	1718179919.81
50.50	1579780313.02
51.50	683653579.53
52.50	846440296.00
53.50	501155703.16
54.50	362177710.97
55.50	1464610578.57
56.50	447123283.39
57.50	443999680.54
58.50	3504296638.10
59.50	561518360.94
60.50	1697321470.30
61.50	1372833653.94
62.50	2738630267.73
63.50	2051311205.32
64.50	343152028.91
65.50	306365011.17
66.50	353126663.80
67.50	292486096.80
68.50	534680614.55
69.50	484345196.72
70.50	883456512.20
71.50	385502554.97
72.50	456896238.76
73.50	279301738.28
74.50	389872405.43
75.50	517157449.11
76.50	1255484609.55
77.50	1268250145.28
78.50	1722996703.15
79.50	1266656405.93
80.50	1115565866.12
81.50	1195330857.38
82.50	1511193387.74
83.50	3354526556.41
84.50	2225085889.71
85.50	2836121439.96
86.50	3294033160.57
87.50	4151474706.60
88.50	5081347023.72
89.50	6196643215.86
90.50	7572246100.03
91.50	6514195774.19
92.50	1958375894.72
93.50	2078895082.04
94.50	1531363223.53
95.50	1246491913.25
96.50	921476272.45
97.50	18734174905.51
98.50	1887349780.18
99.50	2916964772.56
100.50	1633184134.92
101.50	1754171383.10
102.50	17204421973.58
103.50	14407436386.25
104.50	2615918164.37
105.50	2094258960.60
106.50	2207938806.85
107.50	2554822958.75
108.50	4131381311.26
109.50	2978561525.68
110.50	3359598152.31
111.50	3210347962.18
112.50	3314085439.39
113.50	2319660193.36
114.50	2685654534.00
115.50	3057684599.37
116.50	3288842489.61
117.50	12702422709.35
118.50	4690389980.24
119.50	8582729468.29
120.50	29530759686.91
121.50	1242186176977.53
122.50	10610631629.86
