# AU: 0.72333199
# Source data: solarmin_20081029_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
0.50	71708.25
1.50	7005106.28
2.50	18826565.01
3.50	26603390.86
4.50	46221484.38
5.50	91070096.94
6.50	229218245.44
7.50	217956184.14
8.50	243975174.09
9.50	238061124.17
10.50	199010570.27
11.50	153235633.28
12.50	82728222.90
13.50	96639349.40
14.50	219492459.09
15.50	190170369.34
16.50	339711132.42
17.50	2504892181.45
18.50	1997500164.06
19.50	1448748863.17
20.50	927281595.99
21.50	672854054.35
22.50	1136411891.21
23.50	716867425.94
24.50	879150873.31
25.50	1530931183.87
26.50	373962738.10
27.50	592699347.75
28.50	374842886.20
29.50	407714500.10
30.50	12774877002.85
31.50	919902148.53
32.50	283764650.11
33.50	423544531.87
34.50	1039501583.19
35.50	757785354.17
36.50	1618014478.19
37.50	85498874.36
38.50	114639422.66
39.50	71994404.30
40.50	264894710.66
41.50	147762135.08
42.50	190022067.38
43.50	450561595.74
44.50	229235823.25
45.50	271148231.02
46.50	812186706.37
47.50	337971472.89
48.50	512569280.08
49.50	586528522.06
50.50	723108298.52
51.50	270398752.72
52.50	285196427.46
53.50	378953880.55
54.50	225942506.56
55.50	1535743307.65
56.50	329927625.56
57.50	266465678.87
58.50	2424746486.91
59.50	413943262.80
60.50	910704764.82
61.50	717819113.38
62.50	2083156217.89
63.50	1901567408.88
64.50	233359428.92
65.50	219104046.87
66.50	241941278.39
67.50	193444761.11
68.50	473380605.09
69.50	312176906.34
70.50	803481331.58
71.50	290438719.90
72.50	254573379.26
73.50	189236773.91
74.50	295433769.76
75.50	422573053.48
76.50	1163304423.37
77.50	1027803632.73
78.50	1484089910.86
79.50	1022899281.13
80.50	774990338.92
81.50	818844987.58
82.50	985357086.08
83.50	2505466497.08
84.50	1419543466.25
85.50	1757333234.15
86.50	2010622535.71
87.50	2468225543.16
88.50	2930651673.95
89.50	3343974690.00
90.50	4060775995.19
91.50	3516763337.10
92.50	1271908796.26
93.50	1371325586.97
94.50	986898132.93
95.50	812387322.30
96.50	586411805.05
97.50	11069021425.93
98.50	1294913852.19
99.50	1890400043.52
100.50	837458417.07
101.50	1133574658.19
102.50	8970902034.03
103.50	8632538373.40
104.50	1373790665.35
105.50	1338847903.62
106.50	1478298865.15
107.50	1704170480.53
108.50	2430942208.22
109.50	1905644766.56
110.50	2271403728.32
111.50	2110720388.11
112.50	2236231044.04
113.50	1450455327.30
114.50	1855670929.29
115.50	2046292027.83
116.50	2649864161.60
117.50	8714907262.11
118.50	3561865303.38
119.50	5792350522.94
120.50	15841877139.09
121.50	707861221967.04
122.50	7294952126.76
123.50	4744772419.71
124.50	3421214888.57
125.50	3128463148.26
126.50	4181476596.46
127.50	2315124298.50
128.50	1864889534.95
129.50	2078960023.62
130.50	18167419714.94
131.50	3057320881.96
132.50	2436736530.45
133.50	21552383757.77
134.50	2318868383.37
135.50	5304024086.52
136.50	3315383589.08
137.50	3622227698.79
138.50	3627337444.20
139.50	9085170707.09
140.50	8101339601.11
141.50	5146145528.58
142.50	5636365304.80
143.50	6470601760.09
144.50	6356439997.24
145.50	6852679665.95
146.50	8500829908.29
147.50	10717610038.62
148.50	11055405298.36
149.50	9994747435.70
150.50	11287585554.17
151.50	12258239846.31
152.50	15231991185.27
153.50	16982148899.72
154.50	28352390585.48
155.50	25748269261.00
156.50	26461765026.96
157.50	23845495940.37
158.50	24027451852.03
159.50	23975827011.98
160.50	26858318822.91
161.50	32020111841.36
162.50	37155977371.56
163.50	39823621162.43
164.50	46156047125.92
165.50	74252166140.80
166.50	51282810608.28
167.50	60335179266.42
168.50	67810854966.72
169.50	89714683950.32
170.50	103661968549.72
171.50	105070867520.65
172.50	115401083910.16
173.50	117914101441.72
174.50	145291335209.51
175.50	178919740814.64
176.50	195327129976.05
177.50	236866419394.73
178.50	265518349125.51
179.50	265996538717.38
180.50	339148894228.73
181.50	401404909233.57
182.50	393939946872.76
183.50	423761093298.41
184.50	370011457345.86
185.50	424061127859.65
186.50	492547052296.15
187.50	556055347051.19
188.50	601469920751.87
189.50	662143805146.29
190.50	706330138668.12
191.50	759001144765.05
192.50	813854692890.98
193.50	638975107703.75
194.50	1049188770856.28
195.50	1028413824162.85
196.50	1167118367783.40
197.50	1196739059452.07
198.50	1217011762078.95
199.50	1324820677354.83
200.50	1450566884361.74
201.50	1630092059501.96
202.50	1617691486711.23
203.50	1884015966738.05
204.50	2092200181464.67
205.50	2156610021681.56
206.50	2248079518573.46
207.50	2615187656832.23
208.50	3019388838293.57
209.50	4395056563258.35
210.50	5784678268076.79
211.50	7024448114566.43
212.50	6683466924152.03
213.50	6070030753896.84
214.50	8680119160162.09
215.50	7114164430384.63
216.50	6904986021407.43
