# AU: 0.72
# Source data: The Sun from K. France.
# File creation date: Aug 2025

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
5.000000000000000000e-01	0.000000000000000000e+00
1.500000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+00	0.000000000000000000e+00
3.500000000000000000e+00	0.000000000000000000e+00
4.500000000000000000e+00	0.000000000000000000e+00
5.500000000000000000e+00	3.605535472970632254e+05
6.500000000000000000e+00	6.394249185059831142e+08
7.500000000000000000e+00	5.944730936182916164e+08
8.500000000000000000e+00	5.821923278938230276e+08
9.500000000000000000e+00	4.993647256872685552e+08
1.050000000000000000e+01	3.917589002126616240e+08
1.150000000000000000e+01	2.707031213600091934e+08
1.250000000000000000e+01	1.695524278063511848e+08
1.350000000000000000e+01	1.831023390360703766e+08
1.450000000000000000e+01	4.200219433826492429e+08
1.550000000000000000e+01	4.833679424309782386e+08
1.650000000000000000e+01	6.768453291978456974e+08
1.750000000000000000e+01	3.662759647169166088e+09
1.850000000000000000e+01	3.643100465937441826e+09
1.950000000000000000e+01	3.300797346438012600e+09
2.050000000000000000e+01	2.746396105711499214e+09
2.150000000000000000e+01	2.269688736003116131e+09
2.250000000000000000e+01	2.363886350772833347e+09
2.350000000000000000e+01	1.359443648071487188e+09
2.450000000000000000e+01	1.843499301419255495e+09
2.550000000000000000e+01	3.280639260863379478e+09
2.650000000000000000e+01	1.230137975642429590e+09
2.750000000000000000e+01	1.637663451019576311e+09
2.850000000000000000e+01	3.293818545251870632e+09
2.950000000000000000e+01	7.485160034111057520e+08
3.050000000000000000e+01	1.786602590735692978e+10
3.150000000000000000e+01	1.265510023433403254e+09
3.250000000000000000e+01	4.966078972092736959e+08
3.350000000000000000e+01	3.035650102143406868e+09
3.450000000000000000e+01	2.000317266513721943e+09
3.550000000000000000e+01	1.775986599338954926e+09
3.650000000000000000e+01	4.062934881535861015e+09
3.750000000000000000e+01	2.697050273931989074e+08
3.850000000000000000e+01	3.328128611630656123e+08
3.950000000000000000e+01	2.326988160728484094e+08
4.050000000000000000e+01	4.239564644912458658e+08
4.150000000000000000e+01	5.850881672765365839e+08
4.250000000000000000e+01	1.712180318893731833e+08
4.350000000000000000e+01	7.981272378673329353e+08
4.450000000000000000e+01	3.522418503743558526e+08
