# AU: 0.72
# Source data: k1 ceti from K. France
# File creation date: Aug 2025

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
5.000000000000000000e-01	0.000000000000000000e+00
1.500000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+00	0.000000000000000000e+00
3.500000000000000000e+00	0.000000000000000000e+00
4.500000000000000000e+00	0.000000000000000000e+00
5.500000000000000000e+00	1.859815012565681711e+07
6.500000000000000000e+00	7.360283471570502281e+09
7.500000000000000000e+00	5.176358600279749870e+09
8.500000000000000000e+00	3.391831590806247234e+09
9.500000000000000000e+00	4.888727339537715912e+09
1.050000000000000000e+01	3.584304329525481224e+09
1.150000000000000000e+01	2.020519074437664270e+09
1.250000000000000000e+01	1.720479845634037733e+09
1.350000000000000000e+01	2.045353125642029762e+09
1.450000000000000000e+01	2.839123208152601719e+09
1.550000000000000000e+01	3.709768519925621510e+09
1.650000000000000000e+01	6.842022209926541328e+09
1.750000000000000000e+01	1.225135024446351242e+10
1.850000000000000000e+01	1.645387657944375992e+10
1.950000000000000000e+01	1.791499245475638962e+10
2.050000000000000000e+01	1.775110962742913437e+10
2.150000000000000000e+01	2.601450581218408585e+10
2.250000000000000000e+01	1.388163855084029388e+10
2.350000000000000000e+01	1.263069039817683220e+10
2.450000000000000000e+01	1.861442350701675797e+10
2.550000000000000000e+01	3.223973365767434311e+10
2.650000000000000000e+01	2.069050584889534378e+10
2.750000000000000000e+01	1.366423169666174698e+10
2.850000000000000000e+01	7.654703833471214294e+10
2.950000000000000000e+01	1.200815872862415314e+10
3.050000000000000000e+01	6.905453892315525818e+10
3.150000000000000000e+01	7.139823794881122589e+09
3.250000000000000000e+01	9.778076630202526093e+09
3.350000000000000000e+01	1.052436994855703735e+11
3.450000000000000000e+01	5.841365304777103424e+09
3.550000000000000000e+01	1.491615116273163795e+10
3.650000000000000000e+01	6.335911915099801636e+10
3.750000000000000000e+01	5.850634274300372124e+09
3.850000000000000000e+01	5.061619400628379822e+09
3.950000000000000000e+01	2.135052107212385178e+09
4.050000000000000000e+01	3.386773860110715389e+09
4.150000000000000000e+01	1.553302126554765892e+10
4.250000000000000000e+01	1.750893341876039028e+09
4.350000000000000000e+01	3.557321915942251682e+09
4.450000000000000000e+01	6.155364274010153770e+09
