# AU: 0.72
# Source data: tau ceti from K. France.
# File creation date: Aug 2025

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
5.000000000000000000e-01	0.000000000000000000e+00
1.500000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+00	0.000000000000000000e+00
3.500000000000000000e+00	0.000000000000000000e+00
4.500000000000000000e+00	0.000000000000000000e+00
5.500000000000000000e+00	6.808259473024941981e+05
6.500000000000000000e+00	1.379059203903501928e+08
7.500000000000000000e+00	1.292108122502519041e+08
8.500000000000000000e+00	1.301546501245541871e+08
9.500000000000000000e+00	1.452626727656464577e+08
1.050000000000000000e+01	1.309954060706539154e+08
1.150000000000000000e+01	1.605074119838867486e+08
1.250000000000000000e+01	6.825834955568215251e+07
1.350000000000000000e+01	2.054835267068840563e+08
1.450000000000000000e+01	1.063335165353623927e+08
1.550000000000000000e+01	1.320162176661506593e+08
1.650000000000000000e+01	7.115783549578201771e+08
1.750000000000000000e+01	1.873910354983349800e+09
1.850000000000000000e+01	1.493470219230043650e+09
1.950000000000000000e+01	1.153857309113550663e+09
2.050000000000000000e+01	6.170439008419255018e+08
2.150000000000000000e+01	7.400618022785507441e+08
2.250000000000000000e+01	5.736674720782747269e+08
2.350000000000000000e+01	5.982088282650557756e+08
2.450000000000000000e+01	6.313227742477452755e+08
2.550000000000000000e+01	9.768776586455721855e+08
2.650000000000000000e+01	3.189940156620788574e+08
2.750000000000000000e+01	6.588848527426105738e+08
2.850000000000000000e+01	5.011762570917181969e+08
2.950000000000000000e+01	3.277439868771035671e+08
3.050000000000000000e+01	1.955996101706765175e+09
3.150000000000000000e+01	7.287182136586444378e+08
3.250000000000000000e+01	2.656278480371488035e+08
3.350000000000000000e+01	5.034644057178527117e+08
3.450000000000000000e+01	4.738598218118464947e+08
3.550000000000000000e+01	6.864302517597861290e+08
3.650000000000000000e+01	9.969055868001722097e+08
3.750000000000000000e+01	1.573989914643131495e+08
3.850000000000000000e+01	1.475375605179260969e+08
3.950000000000000000e+01	8.769903328539752960e+07
4.050000000000000000e+01	4.344126561475832462e+08
4.150000000000000000e+01	2.059041721030237675e+08
4.250000000000000000e+01	1.162156520894338936e+08
4.350000000000000000e+01	5.631079981042553186e+08
4.450000000000000000e+01	9.362795208041645586e+07
