# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	7.733148700321685e6
1.5	3.496146116174448e8
2.5	1.8460973148313734e8
3.5	1.4828086370706835e8
4.5	3.0178356018267006e8
5.5	3.180203673829455e8
6.5	4.3090339810083956e8
7.5	8.983384275983216e8
8.5	8.761237594472295e8
9.5	7.501881676614078e8
10.5	5.745952883040591e8
11.5	4.039688450025556e8
12.5	2.635490905736159e8
13.5	2.8968873678732115e8
14.5	6.421764914967668e8
15.5	7.608641282002454e8
16.5	1.5824242564387658e9
17.5	8.28633361663573e9
18.5	5.450858770697415e9
19.5	5.295173776300763e9
20.5	4.401598800871679e9
21.5	4.0045118882478414e9
22.5	3.7764736568547974e9
23.5	2.24159074608186e9
24.5	3.060461476800291e9
25.5	5.151244736502404e9
26.5	2.2684861932192497e9
27.5	1.7574540309369557e9
28.5	3.767852444472856e9
29.5	1.7442311220657523e9
30.5	2.1275825639714737e10
31.5	2.28327677737553e9
32.5	1.0338236950345012e9
33.5	5.382002239432784e9
34.5	2.964164081250877e9
35.5	3.4695724637205367e9
36.5	5.731919202886265e9
37.5	1.0815876230190988e9
38.5	5.2037609241701293e8
39.5	3.488884434672575e8
40.5	4.298867978282548e8
41.5	7.129240179848098e8
42.5	3.3518119844225854e8
43.5	5.486644398638316e8
44.5	4.72974832449454e8
45.5	4.1265600957881683e8
46.5	9.38141783955616e8
47.5	5.277972001982152e8
48.5	8.704879095806355e8
49.5	1.7173684456187048e9
50.5	1.5790342031687217e9
51.5	6.83330698766674e8
52.5	8.460405331803036e8
53.5	5.00919013788649e8
54.5	3.6200665910812736e8
55.5	1.4639188619041421e9
56.5	4.469121128353303e8
57.5	4.4378998521949244e8
58.5	3.5026416040419693e9
59.5	5.612531630667801e8
60.5	1.6965198472769132e9
61.5	1.3721852823313878e9
62.5	2.737336848012242e9
63.5	2.0503423975158095e9
64.5	3.429899626348462e8
65.5	3.0622031893446386e8
66.5	3.529598866393048e8
67.5	2.9234795939104015e8
68.5	5.344280917997842e8
69.5	4.841164467368984e8
70.5	8.830392670991346e8
71.5	3.853204870854574e8
72.5	4.566804525602486e8
73.5	2.7916982767543054e8
74.5	3.896882737257577e8
75.5	5.1691320232814497e8
76.5	1.2548916603785605e9
77.5	1.2676511671094503e9
78.5	1.7221829540550027e9
79.5	1.266058180460588e9
80.5	1.1150389987601986e9
81.5	1.194766318051656e9
82.5	1.5104796706152363e9
83.5	3.3529422568254385e9
84.5	2.2240350103728805e9
85.5	2.8347819764176774e9
86.5	3.292477431229217e9
87.5	4.1495140186886134e9
88.5	5.078947169122691e9
89.5	6.193716621263007e9
90.5	7.568669825953889e9
91.5	6.511119203619118e9
92.5	1.9574509790718303e9
93.5	2.0779132467280881e9
94.5	1.5306399804453535e9
95.5	1.2459032112075996e9
96.5	9.210410711000863e8
97.5	1.8725326996558216e10
98.5	1.886458409248546e9
99.5	2.9155871277526608e9
100.5	1.6324128031404605e9
101.5	1.7533429105982633e9
102.5	1.719629654718794e10
103.5	1.4400631940046291e10
104.5	2.6146826999885826e9
105.5	2.093269869127638e9
106.5	2.2068960258577423e9
107.5	2.5536163488443875e9
108.5	4.129430113200321e9
109.5	2.977154789520033e9
110.5	3.358011457472756e9
111.5	3.208831756278205e9
112.5	3.3125202396216297e9
113.5	2.3185646477940664e9
114.5	2.684386134031749e9
115.5	3.05624049440918e9
116.5	3.2872892117559943e9
117.5	1.2696423519095547e10
118.5	4.688174769601266e9
119.5	8.578675955965262e9
120.5	2.9516812690347317e10
121.5	1.2415995084826318e12
122.5	1.0605620365525093e10
123.5	6.935426504721396e9
124.5	5.153131703130067e9
125.5	4.548936911988728e9
126.5	6.846479827097642e9
127.5	3.272829677826775e9
128.5	2.571222678436568e9
129.5	3.7800052057005024e9
130.5	2.2061197837221073e10
131.5	3.694193221345114e9
132.5	3.0324740582010493e9
133.5	3.5154888635351875e10
134.5	2.9457276065798106e9
135.5	6.384127240431385e9
136.5	4.2136190935418715e9
137.5	4.537851594027238e9
138.5	4.443518095638395e9
139.5	1.3752599433171926e10
140.5	1.1392310141973736e10
141.5	6.205555418614159e9
142.5	6.6340642802378235e9
143.5	7.585096081168834e9
144.5	7.425965360389182e9
145.5	8.091300491082786e9
146.5	9.739638688961845e9
147.5	1.228615342590036e10
148.5	1.2315631341889534e10
149.5	1.109851423914739e10
150.5	1.271126081363518e10
151.5	1.3728460195835354e10
152.5	1.7844262757483757e10
153.5	2.001184352689009e10
154.5	3.596044889271172e10
155.5	3.1351555424233555e10
156.5	2.915821317566714e10
157.5	2.6830336289387474e10
158.5	2.5733165437424633e10
159.5	2.5271407201927124e10
160.5	2.8897467921304718e10
161.5	3.37972404144735e10
162.5	3.9722526416416855e10
163.5	4.273467962319311e10
164.5	5.2308029368477715e10
165.5	7.929295895788072e10
166.5	5.448883559205157e10
167.5	6.7596694677354515e10
168.5	7.004627602680641e10
169.5	9.346726248333353e10
170.5	1.078084373987779e11
171.5	1.0924596295540985e11
172.5	1.2223506040161606e11
173.5	1.2267284186170671e11
174.5	1.5048577216678195e11
175.5	1.8688686074052786e11
176.5	2.0073381426346472e11
177.5	2.4802223959415182e11
178.5	2.7981458599071436e11
179.5	2.894465105427099e11
180.5	3.730816502604515e11
181.5	4.5234843347471204e11
182.5	4.2891121199933514e11
183.5	4.606086224786594e11
184.5	4.020943000643382e11
185.5	4.592433446550916e11
186.5	5.3545878891643146e11
187.5	5.936164451644299e11
188.5	6.034801606795945e11
189.5	4.8448123854150775e11
190.5	7.18699762819934e11
191.5	7.826017431249635e11
192.5	8.379256122062716e11
193.5	6.48695832374309e11
194.5	1.0781766796642745e12
195.5	1.0535155102815049e12
196.5	1.1945323251859905e12
197.5	1.2283318408637083e12
198.5	1.252293121370659e12
199.5	1.3613959389295364e12
200.5	1.4824245942030596e12
201.5	1.6664923229702458e12
202.5	1.6577008404615776e12
203.5	1.9350860874717966e12
204.5	2.1489894505929722e12
205.5	2.2170759841368765e12
206.5	2.3037289097332617e12
207.5	2.6677874893143516e12
208.5	3.064312557156657e12
209.5	4.4390233477720205e12
210.5	5.795101899869007e12
211.5	7.081353160443456e12
212.5	6.787168320019682e12
213.5	6.146051266426222e12
214.5	8.790824207387927e12
215.5	7.217590771771934e12
216.5	6.986747598256238e12
217.5	6.796302973472987e12
218.5	9.649395699549463e12
219.5	1.0183761120046072e13
220.5	1.0088914968144607e13
221.5	7.21754990784827e12
222.5	1.0626045969040326e13
