# AU: 0.72333199
# Source data: solarmean_2004-02-07_SORCE_and_TIMED.dat
# File creation date: July 30, 2024

# wavelength (nm)	photon flux (phot/s/cm^2/nm)
0.50	813178.26
1.50	68552195.27
2.50	94188352.03
3.50	109931449.24
4.50	165661246.57
5.50	273167508.62
6.50	409085285.46
7.50	373360085.41
8.50	385791895.60
9.50	346466980.79
10.50	278123778.45
11.50	200168420.52
12.50	119092124.91
13.50	132558635.67
14.50	304668572.73
15.50	314637865.27
16.50	474806499.58
17.50	2926010386.75
18.50	2690954540.72
19.50	2248932042.62
20.50	1709305500.35
21.50	1325953584.70
22.50	1634488574.71
23.50	968257628.02
24.50	1265959099.92
25.50	2250123564.81
26.50	729839583.24
27.50	1016706710.12
28.50	1521259078.39
29.50	544838625.56
30.50	14670525708.74
31.50	1034405015.23
32.50	379371853.18
33.50	1366070900.59
34.50	1374565858.40
35.50	1054921907.67
36.50	2305321673.39
37.50	103559200.87
38.50	146684294.82
39.50	95561168.08
40.50	346026122.08
41.50	333936050.02
42.50	249949059.58
43.50	523541447.38
44.50	324436272.92
45.50	330502308.60
46.50	878161497.31
47.50	423334526.21
48.50	666310651.04
49.50	1034987144.24
50.50	1078836710.84
51.50	437073802.67
52.50	523641703.97
53.50	444170169.17
54.50	296375653.02
55.50	1557370495.55
56.50	398239277.30
57.50	355156023.48
58.50	2956211972.43
59.50	489914548.79
60.50	1241587315.92
61.50	1026139599.25
62.50	2366754400.22
63.50	2044304459.06
64.50	286154684.57
65.50	265081647.04
66.50	297309456.04
67.50	244975167.44
68.50	514042332.70
69.50	392519357.36
70.50	860621292.11
71.50	346125529.11
72.50	353945744.51
73.50	236738735.00
74.50	340207944.18
75.50	462674457.74
76.50	1199429112.62
77.50	1075554885.75
78.50	1541107179.02
79.50	1116127572.47
80.50	894865234.43
81.50	964150409.38
82.50	1181731092.25
83.50	2710931866.77
84.50	1685919313.70
85.50	2058320125.54
86.50	2363081902.65
87.50	2858296701.43
88.50	3418471904.82
89.50	3983660424.96
90.50	4803604061.15
91.50	4218450789.35
92.50	1510036619.58
93.50	1594774679.00
94.50	1176479781.47
95.50	974743057.82
96.50	716538995.67
97.50	12016800620.94
98.50	1491250551.53
99.50	2222142822.45
100.50	1087250925.56
101.50	1352361761.14
102.50	10848205471.59
103.50	9857903394.86
104.50	1785602064.02
105.50	1591378583.27
106.50	1719163250.58
107.50	1959874839.95
108.50	3007518556.52
109.50	2223752521.14
110.50	2572625481.77
111.50	2430397251.30
112.50	2555742710.99
113.50	1733794818.29
114.50	2121503836.39
115.50	2254729159.00
116.50	2779205031.13
117.50	9717489546.22
118.50	3833576611.26
119.50	6472366397.51
120.50	19664413349.82
121.50	841280414585.70
122.50	8187895091.17
123.50	5269990651.34
124.50	3941967603.00
125.50	3518996282.50
126.50	4940273339.48
127.50	2552931950.47
128.50	2051546768.33
129.50	2428539673.14
130.50	20686348392.68
131.50	3356005440.79
132.50	2706254071.21
133.50	25978670408.73
134.50	2550263925.35
135.50	5798698308.20
136.50	3681671572.39
137.50	3992317582.33
138.50	3965224729.66
139.50	11104802160.89
140.50	9551139774.87
141.50	5654284770.69
142.50	6150352267.35
143.50	7062432310.31
144.50	7004175459.05
145.50	7447872049.56
146.50	9277391684.93
147.50	11473928995.28
148.50	11870294326.45
149.50	10778481859.11
150.50	12128303655.57
151.50	13195258954.22
152.50	16610969774.19
153.50	18433353747.12
154.50	31370238009.58
155.50	28194560348.03
156.50	28375243850.81
157.50	25139556969.40
158.50	25177498089.68
159.50	24928209167.46
160.50	28218942407.79
161.50	33440425233.83
162.50	38895965381.98
163.50	41707360415.46
164.50	48855764591.34
165.50	77883240607.61
166.50	53225959966.82
167.50	64035676673.08
168.50	69945337515.83
169.50	93149257084.09
170.50	108159999840.83
171.50	109901331411.57
172.50	121288094124.96
173.50	123135891084.31
174.50	152429855152.47
175.50	188227675923.01
176.50	204873420482.28
177.50	250735868454.26
178.50	281029131119.55
179.50	281704155879.31
180.50	352996941127.68
181.50	418648571065.03
182.50	406313554710.34
183.50	438369669276.02
184.50	380976950320.61
185.50	437410611817.52
186.50	511602045157.17
187.50	576891481097.70
188.50	622447629816.53
189.50	693342649194.58
190.50	732869187955.52
191.50	785184385416.54
192.50	847501629119.21
193.50	657809090733.93
194.50	1081530408454.89
195.50	1060173228574.06
196.50	1200916924843.77
197.50	1228543079661.60
198.50	1242068103834.71
199.50	1354211212386.72
200.50	1484445804088.02
201.50	1663955313892.82
202.50	1651696122376.79
203.50	1921469853021.60
204.50	2133983623681.25
205.50	2203446629485.73
206.50	2293047343445.55
207.50	2659666969384.75
208.50	3064375201000.05
209.50	4428623773818.35
210.50	5793152630423.76
211.50	7019964059533.26
212.50	6734234317245.20
213.50	6102943539480.96
214.50	8695907063550.21
215.50	7167343472659.84
216.50	6930065865252.71
217.50	6707563008009.13
218.50	9567948884098.32
219.50	10085120291802.98
220.50	9997335324107.95
221.50	7128913099699.74
222.50	10560742148416.89
223.50	13479465099013.51
224.50	12498478675648.81
225.50	11049124034891.71
226.50	7818454517395.54
227.50	7939273598300.88
228.50	11436763137232.56
229.50	9735791061691.14
230.50	11932375202184.11
231.50	10341792430584.39
232.50	11201627534283.53
233.50	9471162538231.66
234.50	7691351072169.99
235.50	12439943641492.29
236.50	9607455638913.18
237.50	11726565424436.91
238.50	8079622782917.11
239.50	10027507341836.55
240.50	9245871583002.99
241.50	10843226990865.99
242.50	16321465289406.41
243.50	14926021632508.77
244.50	14244257379592.60
245.50	11293300149303.86
246.50	11325640045615.23
247.50	13137348177790.63
248.50	10212328305606.32
249.50	13055583847760.87
250.50	13795153606629.22
251.50	10740011872102.99
252.50	9508709349736.89
253.50	12235304699135.20
254.50	13700820519113.87
255.50	19540841237046.06
256.50	23541284121416.62
257.50	29373417822516.30
258.50	31253953962747.67
259.50	26343573736966.91
260.50	21429530457224.30
261.50	20979369883474.50
262.50	26688431252974.25
263.50	39145071810371.58
264.50	61331329604669.48
265.50	64063799615902.27
266.50	62421387631361.98
267.50	62747332758337.80
268.50	62817993685154.52
269.50	56104192691063.88
270.50	70876535147608.34
271.50	59267254240960.33
272.50	47241255172459.92
273.50	54046663019372.57
274.50	31845172134647.74
275.50	45893330148370.14
276.50	64027576995175.96
277.50	63786446883485.42
278.50	42134312413785.80
279.50	20119105361610.46
280.50	23361385789188.93
281.50	54943070626192.09
282.50	76853154830874.53
283.50	85427354329154.12
284.50	65532740978647.13
285.50	33460099424007.62
286.50	89314730846303.08
287.50	97755345536893.78
288.50	80886921299431.69
289.50	120806267300374.28
290.50	161872687908728.19
291.50	150725066287784.94
292.50	131778379378115.17
293.50	149564064122703.06
294.50	135174806446612.64
295.50	151800744079813.38
296.50	135174709142212.22
297.50	145118165106390.84
298.50	107781747396898.55
299.50	150212311038371.94
300.50	99484874141547.28
301.50	135647131717636.12
302.50	133632707510744.47
303.50	175383360692356.34
304.50	165284328068329.16
305.50	173349816747678.59
306.50	157907760697846.44
307.50	182924290194701.88
308.50	184080438966283.94
309.50	139722887102227.84
310.50	185000645142986.34
311.50	211712326836395.28
312.50	197495982884831.12
313.50	204858619985395.19
314.50	201399245430573.78
315.50	187178454951316.38
316.50	196259697080731.12
317.50	222091094010254.56
318.50	205525982263517.31
319.50	218106071569439.72
320.50	232767091342376.94
321.50	219329957757275.34
322.50	208659132847965.03
323.50	210121257755059.81
324.50	236554176391457.31
325.50	273504913059058.34
326.50	301594517258278.75
327.50	298042403698483.44
328.50	298773371737362.56
329.50	323236376190325.81
330.50	322913062340380.88
331.50	308406523515916.50
332.50	302798027336260.25
333.50	299178637587934.38
334.50	306634825751368.94
335.50	298880260906614.44
336.50	275280467707048.53
337.50	279205731214941.94
338.50	300193783104279.69
339.50	319437554104085.50
340.50	325144318610784.44
341.50	321168148505014.44
342.50	325478196509163.69
343.50	310449091117521.38
344.50	292324264288570.69
345.50	304221297382095.62
346.50	313969753550388.44
347.50	310602919468303.38
348.50	309350650682101.88
349.50	320863022703759.19
350.50	340625683584517.25
351.50	338833683702536.81
352.50	334623231124226.88
353.50	356493727741459.81
354.50	374943697450618.81
355.50	362106904776027.25
356.50	327177048611590.62
357.50	290743464840095.75
358.50	290621776583382.06
359.50	324843016893824.25
360.50	339227103047384.12
361.50	338401076162363.62
362.50	346311539503357.44
363.50	358975073115556.31
364.50	379820555928818.94
365.50	407750768963970.44
366.50	427467468426020.31
367.50	428184592447521.25
368.50	424697135235171.25
369.50	430973637504501.75
370.50	429123909434539.62
371.50	416413346460072.62
372.50	386177668161525.94
373.50	360492004120086.94
374.50	355852623687459.94
375.50	376797025671648.19
376.50	416858434959475.50
377.50	449243026745954.75
378.50	457151755984956.62
379.50	445252374171399.06
380.50	422730898148331.06
381.50	381188553933239.88
382.50	336857589878598.12
383.50	318687313078827.12
384.50	337071939755001.19
385.50	362337342085320.69
386.50	374802117121841.81
387.50	381874106267496.75
388.50	399656041235095.12
389.50	432150185010140.00
390.50	452415984637146.88
391.50	433049407831863.31
392.50	389410076063370.44
393.50	364177068218847.75
394.50	370706766932807.38
395.50	389635248153957.06
396.50	410851452446560.44
397.50	453739301371070.88
398.50	524923566813154.56
399.50	598286855875200.75
400.50	649491927151028.25
401.50	670988235665647.50
402.50	676273924533853.75
