# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	71674.38027526223
1.5	7.001797862069918e6
2.5	1.8817673468302973e7
3.5	2.659082642264163e7
4.5	4.619965457294332e7
5.5	9.10270857111666e7
6.5	2.291099886254506e8
7.5	2.1785324624452448e8
8.5	2.4385994776963645e8
9.5	2.3794869097403708e8
10.5	1.989165801443209e8
11.5	1.531632620659094e8
12.5	8.268915142993659e7
13.5	9.659370788019799e7
14.5	2.193887956319026e8
15.5	1.900805543250713e8
16.5	3.395506912372865e8
17.5	2.503709153207621e9
18.5	1.9965567705150652e9
19.5	1.4480646377890253e9
20.5	9.268436528657316e8
21.5	6.725362740688003e8
22.5	1.1358751785474446e9
23.5	7.165288587063617e8
24.5	8.78735661707162e8
25.5	1.530208144836566e9
26.5	3.737861203219513e8
27.5	5.924194235025079e8
28.5	3.74665852748171e8
29.5	4.075219418093404e8
30.5	1.276884359336746e10
31.5	9.194676906181464e8
32.5	2.836306317332929e8
33.5	4.2334449726029193e8
34.5	1.0390106400156962e9
35.5	7.574274619251775e8
36.5	1.6172503108384697e9
37.5	8.545849434694268e7
38.5	1.1458527993893446e8
39.5	7.196040227303441e7
40.5	2.647696043078907e8
41.5	1.4769234893256083e8
42.5	1.8993232241190982e8
43.5	4.50348801318551e8
44.5	2.2912755813292187e8
45.5	2.71020171210189e8
46.5	8.118031210696926e8
47.5	3.378118533286575e8
48.5	5.1232720023050934e8
49.5	5.862515122132412e8
50.5	7.22766783809142e8
51.5	2.702710468819965e8
52.5	2.850617328676138e8
53.5	3.7877490552217126e8
54.5	2.2583579683025703e8
55.5	1.5350179959078987e9
56.5	3.297718049980414e8
57.5	2.6633983057077348e8
58.5	2.423601310450428e9
59.5	4.137477627413038e8
60.5	9.102746507119482e8
61.5	7.174800966801591e8
62.5	2.0821723701051052e9
63.5	1.9006693231417565e9
64.5	2.3324921627815673e8
65.5	2.190005668589705e8
66.5	2.418270126524305e8
67.5	1.933533996495699e8
68.5	4.7315703353694445e8
69.5	3.120294692180065e8
70.5	8.031018577194252e8
