#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 2/18/19
#Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
0.5	2307973.0016238177
1.5	94233548.6740525
2.5	44818021.20186336
3.5	35937207.48044285
4.5	72254853.58298391
5.5	75383381.68597275
6.5	102096815.23805454
7.5	218716092.15937266
8.5	212341483.68005505
9.5	181560238.68625528
10.5	138155429.4109059
11.5	95988595.43093379
12.5	63193282.77184854
13.5	69122009.99233627
14.5	151953916.14465243
15.5	185047841.40713027
16.5	371717805.42874545
17.5	1921541338.1186821
18.5	1283477050.0083594
19.5	1278259099.6102467
20.5	1082171115.429814
21.5	984557407.4474075
22.5	896117465.3092479
23.5	528712958.12648237
24.5	729088966.231032
25.5	1230553962.626514
26.5	560513278.2583888
27.5	664240195.9004807
28.5	1551793945.7666614
29.5	321283187.8019483
30.5	7266871418.341909
31.5	591777331.5691487
32.5	297165537.02185184
33.5	1408716829.0123968
34.5	747482548.0533711
35.5	755429728.618615
36.5	1603511134.8568132
37.5	109107096.76900391
38.5	74587279.65993701
39.5	68776316.11912675
40.5	80895682.11921066
41.5	91769066.17859165
42.5	59472703.22373046
43.5	115212415.68337432
44.5	82652270.27175093
45.5	79758751.36410172
46.5	201595460.40758255
47.5	101289607.16164827
48.5	161251938.6135284
49.5	274549285.56963605
50.5	271794838.32244354
51.5	115023929.22837813
52.5	140644751.78293225
53.5	106702690.86593355
54.5	72259001.56432398
55.5	351835362.9711598
56.5	94982661.38481702
57.5	88641598.01329343
58.5	760828189.8323742
59.5	118571249.2176003
60.5	329971993.78487885
61.5	269355261.62461203
62.5	579127136.6587902
63.5	464660715.1101259
64.5	70853641.93347646
65.5	64074849.78244261
66.5	71182567.03274548
67.5	59619825.115252726
68.5	119593306.75000237
69.5	94200079.59590757
70.5	192504758.42738867
71.5	80151063.148177
72.5	92648727.97056018
73.5	57206215.9006482
74.5	81267701.69325677
75.5	113680827.5907676
76.5	282192236.223363
77.5	275779663.30741817
78.5	371976907.72245485
79.5	268382926.96612036
80.5	219427773.24378055
81.5	238769608.00916284
82.5	295961566.6285227
83.5	658731412.9966114
84.5	430449425.37010074
85.5	531538337.33385324
86.5	617442567.1316916
87.5	758395689.8330739
88.5	901633353.4981077
89.5	1039675239.8004788
90.5	1251764816.4330578
91.5	1139593588.609303
92.5	397865263.4580418
93.5	408899088.41720223
94.5	303625039.08804256
95.5	250767805.9535003
96.5	186600391.88141745
97.5	3056871052.437988
98.5	377770593.7838109
99.5	566833297.0363303
100.5	289255371.3406068
101.5	346322007.09484935
102.5	2965329619.028902
103.5	2657025351.8029757
104.5	478721921.53012913
105.5	398026211.4230576
106.5	426178697.21818864
107.5	489638229.96624446
108.5	800727029.4490184
109.5	543962484.8866242
110.5	642523364.5206429
111.5	612114018.753618
112.5	627305657.2449608
113.5	433078109.417379
114.5	500984213.3774969
115.5	528581951.1308761
116.5	593203185.7177172
117.5	2251734512.071388
118.5	847420515.2796074
119.5	1468252487.9568167
120.5	4835175854.073262
121.5	200289806910.65347
122.5	1876202986.416291
123.5	1232247731.4794734
124.5	909274172.3539965
125.5	784786572.494472
126.5	1159070451.3285596
127.5	574112997.4183334
128.5	452328598.6370536
129.5	554969347.2932566
130.5	4603961542.927126
131.5	726567206.7786448
132.5	596930775.4572029
133.5	6305410810.348954
134.5	557073750.8881065
135.5	1258202497.6875541
136.5	807025242.9432983
137.5	867831716.7418888
138.5	846337812.3310503
139.5	2636660689.03458
140.5	2157821687.0683584
141.5	1229784963.9904199
142.5	1311931076.6019847
143.5	1516286197.2138371
144.5	1479050353.7680254
145.5	1604282847.3801498
146.5	1986806280.893302
147.5	2428956639.5829782
148.5	2514007027.896676
149.5	2288910911.097243
150.5	2576548652.3958135
151.5	2829058275.137678
152.5	3618446159.664675
153.5	3985950976.7357855
154.5	7109633099.568755
155.5	6154673699.626964
156.5	6011147179.897597
157.5	5299856812.130847
158.5	5267178141.011497
159.5	5212753941.358626
160.5	5873856273.722485
161.5	6928888121.487296
162.5	8071967949.626149
163.5	8775403841.630875
164.5	10478685718.411892
165.5	16413825367.80448
166.5	10922527377.858501
167.5	13379659276.540573
168.5	14371775441.906881
169.5	19094694805.736813
170.5	22210133291.72571
171.5	22620946963.600437
172.5	24889339104.387447
173.5	25233622155.84577
174.5	31237305810.15482
175.5	38582676295.11976
176.5	42013197083.62092
177.5	51442432682.03084
178.5	57613821362.9335
179.5	57847874657.97988
180.5	73775769204.35811
181.5	88886571876.87268
182.5	83345702101.001
183.5	90329055970.79274
184.5	78747408058.19318
185.5	90158667341.51675
186.5	104774441291.02547
187.5	118375737532.623
188.5	127523627438.8209
189.5	141442430952.56448
190.5	149567403329.7163
191.5	159600674895.82123
192.5	172495393513.6182
193.5	133778319138.97508
194.5	220797335326.69067
195.5	215747374643.7988
196.5	243522707645.27835
197.5	248163858492.47595
198.5	250127066210.74356
199.5	272651270195.8771
200.5	297177582621.0641
201.5	334237646651.88293
202.5	331762032037.09924
203.5	385834757712.39874
204.5	429277165325.30817
205.5	444029523223.1156
206.5	463482044506.83484
207.5	536829180206.99243
208.5	615329858220.8177
209.5	885612461604.0985
210.5	1148348329472.1797
211.5	1385949069195.2466
212.5	1333840473213.508
213.5	1214044241396.3337
214.5	1730990260453.3672
215.5	1430398155362.1917
216.5	1378313351627.8284
217.5	1337643934821.4353
218.5	1912289983395.3733
219.5	2006661042930.7705
220.5	1987434161226.032
221.5	1413760401336.1296
222.5	2086466039496.2153
223.5	2682708399631.88
224.5	2483970175216.3394
225.5	2201364619396.8154
226.5	1562525191936.3882
227.5	1578849921597.0015
228.5	2273186607616.863
229.5	1932645246012.1853
230.5	2371322523095.2617
231.5	2056806886661.4365
232.5	2231765802531.5083
233.5	1890855672903.9749
234.5	1534618608691.9294
235.5	2474890997692.7583
236.5	1915362880425.376
237.5	2339775415259.6167
238.5	1617238194012.0671
239.5	1992821685201.2317
240.5	1832565156228.161
241.5	2141892955436.8076
242.5	3224876788017.955
243.5	2953481987523.515
244.5	2822459244540.161
245.5	2235602711362.8037
246.5	2246112277576.868
247.5	2612704356226.0483
248.5	2030718534394.1946
249.5	2597296246824.1562
250.5	2749468957114.352
251.5	2140485151269.5337
252.5	1895371660257.1592
253.5	2441016363480.94
254.5	2723153243932.6016
255.5	3869929531728.4585
256.5	4663079478595.793
257.5	5803053423356.778
258.5	6179573741549.312
259.5	5229844822172.552
260.5	4269857048520.916
261.5	4176397847733.4155
262.5	5290464157363.939
263.5	7733643810282.912
264.5	12103209286000.06
265.5	12611005214680.145
266.5	12270739652927.184
267.5	12317659373021.506
268.5	12346497225922.725
269.5	11032389496162.79
270.5	13954585789057.666
271.5	11610977861696.084
272.5	9254568851481.225
273.5	10602027726145.96
274.5	6293258299446.989
275.5	9023699138033.424
276.5	12517007642670.8
277.5	12513156176953.42
278.5	8326824858121.25
279.5	4100779246362.905
280.5	4710301056722.835
281.5	10782885486658.086
282.5	15066545734268.855
283.5	16794458970822.71
284.5	12900116853486.537
285.5	6609507238948.303
286.5	17395237127040.82
287.5	19018245177865.484
288.5	15907135165973.031
289.5	23742240629400.176
290.5	31807185255550.434
291.5	29609117733057.402
292.5	25833187439865.562
293.5	29279287792773.082
294.5	26532040870396.387
295.5	29734821105180.566
296.5	26375862604305.46
297.5	28349847519392.848
