# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	1742877.7778502782
1.5	78795269.69065693
2.5	41606881.109564416
3.5	33419171.446262866
4.5	68015226.54556458
5.5	71674637.67927551
6.5	97115933.7617398
7.5	202465275.54616216
8.5	197458589.0122221
9.5	169075539.25206396
10.5	129500853.79852584
11.5	91045491.32354194
12.5	59398037.09119132
13.5	65289325.39718754
14.5	144732136.916107
15.5	171481660.62660477
16.5	356642834.44642
17.5	1867553215.3787985
18.5	1228500962.5191379
19.5	1193413066.5541499
20.5	992021365.9841512
21.5	902526907.4257023
22.5	851132219.2595892
23.5	505204134.79419875
24.5	689759178.9047309
25.5	1160974698.3327482
26.5	511265763.62840873
27.5	396090608.7304385
28.5	849189191.9028298
29.5	393110462.4894641
30.5	4795092548.955316
31.5	514599228.61742836
32.5	233000607.40015802
33.5	1212982249.1396854
34.5	668055911.9339366
35.5	781963593.355992
36.5	1291845662.1334832
37.5	243765522.4293664
38.5	117281066.58034998
39.5	78631607.72306907
40.5	96886814.92635898
41.5	160677038.0853752
42.5	75542303.00704497
43.5	123656623.81425098
44.5	106597888.7648082
45.5	93003382.82145973
46.5	211436056.78512868
47.5	118953617.3536658
48.5	196188395.21763253
49.5	387056219.43175673
50.5	355878792.6907193
51.5	154007369.56652558
52.5	190678506.46389532
53.5	112895878.6992673
54.5	81588158.46475711
55.5	329934384.02166826
56.5	100723937.98407264
57.5	100020280.64446527
58.5	789416633.7710094
59.5	126493838.87013298
60.5	382357414.30626845
61.5	309259698.5195825
62.5	616934155.513239
63.5	462101058.71440375
64.5	77302222.8160573
65.5	69015172.17364521
66.5	79549219.43639955
67.5	65888654.35903542
68.5	120448071.17416817
69.5	109108958.02048646
70.5	199017188.88869384
71.5	86842570.90048622
72.5	102925502.04197624
73.5	62918599.881773844
74.5	87826971.76600353
75.5	116500609.04398128
76.5	282824354.3787605
77.5	285700060.2004621
78.5	388141301.3421236
79.5	285341036.84033984
80.5	251304710.1104797
81.5	269273454.5980744
82.5	340428143.02800006
83.5	755677768.0472027
84.5	501247466.8408565
85.5	638896095.6541982
86.5	742050356.3734994
87.5	935207126.1412245
88.5	1144680452.811064
89.5	1395924413.1762466
90.5	1705807939.1376805
91.5	1467459816.0061116
92.5	441165422.3736376
93.5	468314907.9846942
94.5	344971823.4044069
95.5	280798560.109894
96.5	207581940.74827278
97.5	4220267522.325494
98.5	425165293.9482862
99.5	657107759.2410774
100.5	367909128.49683577
101.5	395164054.6761918
102.5	3875658451.0227494
103.5	3245578530.549085
104.5	589290669.3686235
105.5	471775945.26203245
106.5	497384725.23275685
107.5	575527687.3663257
108.5	930680665.584927
109.5	670983725.3820223
110.5	756820251.8532242
111.5	723198502.6545424
112.5	746567554.5687693
113.5	522552320.8911576
114.5	605000255.5852487
115.5	688807864.4149605
116.5	740881048.4011706
117.5	2861488284.6733255
118.5	1056609143.4756063
119.5	1933440603.1023805
120.5	6652425668.322586
121.5	279828602317.47394
122.5	2390268281.6148505
123.5	1563089137.8682435
124.5	1161399978.1676958
125.5	1025228062.2016515
126.5	1543042557.3805819
127.5	737622194.6871253
128.5	579495758.0429497
129.5	851928150.9354298
130.5	4972097777.15147
131.5	832588059.8028203
132.5	683451444.2643789
133.5	7923121170.915455
134.5	663900745.2287154
135.5	1438838683.8925817
136.5	949654968.1185195
137.5	1022729680.8715883
