#Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
# using SORCE solstice and SORCE solar spectral irradiance
# interpolated to half-wavelengths by Eryn 22/11/2019
# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	579581.1985360766
1.5	27995878.98173214
2.5	19828582.043241173
3.5	16952537.357460234
4.5	36434850.513802044
5.5	39771375.31625703
6.5	52428089.140311815
7.5	92053573.16219957
8.5	93608450.0667115
9.5	87308424.68275301
10.5	69919003.36237724
11.5	53584200.283156
12.5	32150356.855751786
13.5	37144612.57560112
14.5	80500172.23542322
15.5	78990639.09393477
16.5	204824156.18029436
17.5	1155175065.5453432
18.5	696377781.5298973
19.5	577458608.0972784
20.5	415383288.4032378
21.5	376797193.3384845
22.5	459727697.13630944
23.5	283009308.80630064
24.5	361389914.557059
25.5	600406496.782778
26.5	203186960.02266976
27.5	272467666.74970615
28.5	463210519.6054284
29.5	151657687.6094824
30.5	4380921938.437875
31.5	339748968.74858516
32.5	126745135.82762362
33.5	439844216.3828685
34.5	370795285.196506
35.5	312017357.6404465
36.5	686474762.7678624
37.5	65974150.88324568
38.5	42468573.193123035
39.5	39409902.565234475
40.5	78308270.6660556
41.5	66555354.87827357
42.5	55606240.02909296
43.5	117364505.44663338
44.5	74270331.95557885
45.5	79319975.77969779
46.5	210780327.29652277
47.5	99421067.30587931
48.5	157901488.18888402
49.5	229233123.85346088
50.5	243523886.3648046
51.5	99417758.5618527
52.5	115344932.96981023
53.5	108655491.29063255
54.5	70318279.91266502
55.5	385236415.6750016
56.5	95678132.84888212
57.5	84459646.76437786
58.5	707280096.674157
59.5	122692090.01963902
60.5	299605246.136204
61.5	238463278.20523942
62.5	591259909.4103016
63.5	499111118.10532147
64.5	71163433.03777872
65.5	65321319.72654459
66.5	73026644.46730654
67.5	58978894.8642365
68.5	127513348.8643688
69.5	96522610.75288276
70.5	214439055.61544624
71.5	87006391.09603381
72.5	84986496.63594817
73.5	58201816.061173625
74.5	84986497.18843941
75.5	117147576.28863288
76.5	305489656.8569075
77.5	266099221.63447013
78.5	393777262.4414284
79.5	281376475.69572276
80.5	223052936.26214468
81.5	240759702.25466767
82.5	295171101.2815959
83.5	685453636.6536235
84.5	426258989.9418586
85.5	515187325.45325977
86.5	601080233.7684029
87.5	736754933.7790648
88.5	870091276.639239
89.5	989481612.1234032
90.5	1213136636.5939202
91.5	1062998839.015262
92.5	379791213.0337922
93.5	395873065.8583407
94.5	295397970.2271244
95.5	241794447.16134533
96.5	176249253.15510273
97.5	3002492113.8940215
98.5	374405212.383395
99.5	555739795.3474789
100.5	257751388.33781555
101.5	336281987.236366
102.5	2713943438.592436
103.5	2466621174.38882
104.5	438908984.85729575
105.5	403708008.74331194
106.5	433924349.0250165
107.5	497496180.1006077
108.5	753022480.0599718
109.5	562106004.6654755
110.5	640116924.0705928
111.5	612097564.6659594
112.5	650378871.5176017
113.5	433753926.79177886
114.5	524890509.7822687
115.5	562186824.8768482
116.5	697190239.3553914
117.5	2387767676.916839
118.5	949509241.6993546
119.5	1594466303.9184465
120.5	4705874305.333974
121.5	202111112151.82675
