# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	183185.53199246564
1.5	15442825.99833939
2.5	21217910.318795674
3.5	24764374.585204657
4.5	37318685.35021908
5.5	61536735.43666414
6.5	92155077.70150931
7.5	84107223.8580403
8.5	86907750.97366676
9.5	78048985.55488048
10.5	62653239.61626895
11.5	45092153.15733065
12.5	26828009.743709955
13.5	29861624.95868608
14.5	68633013.68020943
15.5	70878806.82284488
16.5	106960165.5628505
17.5	659145474.3791983
18.5	606194193.741307
19.5	506619315.0882461
20.5	385057069.5126925
21.5	298698975.4205554
22.5	368202981.03570354
23.5	218120426.5148578
24.5	285183953.9731779
25.5	506887730.56034887
26.5	164411739.78450853
27.5	229034602.8104606
28.5	342695651.8743503
29.5	122736377.12583807
30.5	3304844942.268615
31.5	233021518.84009978
32.5	85461501.18342428
33.5	307736245.8734934
34.5	309649914.06036747
35.5	237643381.03963235
36.5	519322267.23616576
37.5	23328891.412872206
38.5	33043727.229448397
39.5	21527166.053236533
40.5	77949672.84415305
41.5	75226129.44319075
42.5	56306290.70742858
43.5	117938739.1282967
44.5	73086104.54306915
45.5	74452606.85782757
46.5	197824375.24728528
47.5	95365019.33238544
48.5	150100509.60599196
49.5	233152655.6616773
50.5	243030694.2052573
51.5	98460080.76594496
52.5	117961324.0377645
53.5	100058686.80047491
54.5	66764858.82903949
55.5	350830509.2554907
56.5	89711785.89881316
57.5	80006375.45101297
58.5	665949017.733678
59.5	110363571.88871367
60.5	279693696.2485848
61.5	231159559.78480867
62.5	533161282.99982446
63.5	460522641.5261926
64.5	64462370.386897
65.5	59715224.79079278
66.5	66975217.630568005
67.5	55185816.73011003
68.5	115798863.45269519
69.5	88423253.44495724
70.5	193873074.5502557
71.5	77972066.37194295
72.5	79733734.61953814
73.5	53330386.82598258
74.5	76639005.71533772
75.5	104227167.58330779
76.5	270196672.9179384
77.5	242291393.97345674
78.5	347166854.62952495
79.5	251431246.29798767
80.5	201587243.88839677
81.5	217195188.99984938
82.5	266209821.03038508
83.5	610694507.2441667
84.5	379788838.3530294
85.5	463679965.63483447
86.5	532333975.56357217
87.5	643891540.4106439
88.5	770082804.7493428
89.5	897403424.2882475
90.5	1082112999.992705
91.5	950294899.5947651
92.5	340167556.63204104
93.5	359256589.4774107
94.5	265026852.66135988
95.5	219581406.18738553
96.5	161415502.26587263
97.5	2707037467.014177
98.5	335935599.08737147
99.5	500584478.94506055
100.5	244926173.31108132
101.5	304647973.43656284
102.5	2443786793.8231206
103.5	2220700390.883294
104.5	402244477.62356865
105.5	358491547.37568897
106.5	387277735.4009705
107.5	441503091.360218
108.5	677506906.5428
109.5	500947097.48338467
110.5	579538080.6777451
111.5	547498175.8078334
112.5	575734880.933565
113.5	390573804.23281187
114.5	477913427.43141264
115.5	507925237.6660503
116.5	626074475.6526014
117.5	2189069213.739762
118.5	863593883.8224055
119.5	1458036867.7973049
120.5	4429823326.854958
121.5	189516134484.2762
122.5	1844495842.6917562
123.5	1187176403.604856
124.5	888011237.9066358
125.5	792728038.3115505
126.5	1112900633.7983832
127.5	575101697.9194638
128.5	462154124.2445265
129.5	547079717.1974664
130.5	4660035721.746663
131.5	756010917.9046655
132.5	609640735.259492
133.5	5852242735.6505785
134.5	574500669.0598059
135.5	1306278940.2400753
136.5	829374074.0229913
137.5	899353631.3446844
138.5	893250395.5856532
139.5	2501590603.1535373
140.5	2151595423.678601
141.5	1273746748.9278026
142.5	1385496401.933207
143.5	1590961644.063175
144.5	1577838061.1690738
145.5	1677790064.399762
146.5	2089927900.0699399
147.5	2584744198.0487256
148.5	2674033838.106916
149.5	2428080081.4231563
150.5	2732155874.3127546
151.5	2972510030.1476717
152.5	3741970842.372558
153.5	4152501219.7686253
154.5	7066806908.079725
155.5	6351418620.951629
156.5	6392121385.949294
157.5	5663214757.987017
158.5	5671761794.53867
159.5	5615604213.679277
160.5	6356911193.506796
161.5	7533160187.671732
162.5	8762135523.930077
163.5	9395461475.674938
164.5	11005790093.407108
165.5	17544840513.5304
166.5	11990268657.441431
167.5	14425385046.13124
168.5	15756660634.641878
169.5	20983832294.910793
170.5	24365318293.721397
171.5	24757589910.200558
172.5	27322698067.14379
173.5	27738953255.04148
174.5	34338035722.275513
175.5	42402248911.80238
176.5	46152053507.02817
177.5	56483535979.391556
178.5	63307731505.29096
179.5	63459795051.44441
180.5	79519996671.0707
181.5	94309409229.12466
182.5	91530686965.04744
183.5	98752002014.9933
184.5	85823083124.93675
185.5	98535954120.45996
186.5	115249137281.0383
187.5	129956958011.89703
188.5	140219440125.46844
189.5	156190036604.08972
190.5	165094222064.30356
191.5	176879322282.61298
192.5	190917594104.33554
193.5	148185354066.40186
194.5	243637506334.33005
195.5	238826351689.18707
196.5	270531833960.75687
197.5	276755207262.88794
198.5	279802003854.91046
199.5	305064601287.76984
200.5	334402686386.92584
201.5	374840984737.335
202.5	372079343615.37305
203.5	432851559075.04803
204.5	480724762399.2067
205.5	496372767655.8214
206.5	516557215863.9259
207.5	599146009242.9861
208.5	690315063365.6467
209.5	997640791521.9828
210.5	1305029659505.3845
211.5	1581394776005.167
212.5	1517028132818.4373
213.5	1374816587341.8083
214.5	1958936240456.9126
215.5	1614595093276.39
216.5	1561143314088.5642
217.5	1511019858596.8826
218.5	2155382029605.9392
219.5	2271885783116.2915
220.5	2252110370002.006
221.5	1605937842252.9302
222.5	2379029625025.522
223.5	3036533450905.0474
224.5	2815545595114.79
225.5	2489047932443.776
226.5	1761271571391.1152
227.5	1788488614351.0425
228.5	2576371805645.759
229.5	2193192015609.8086
230.5	2688018863065.54
231.5	2329706589031.07
232.5	2523402558082.24
233.5	2133578866449.5242
234.5	1732638842991.4622
235.5	2802359345663.4546
236.5	2164281758315.5598
237.5	2641655875360.7495
238.5	1820105224562.4973
239.5	2258907252551.9595
240.5	2082827333156.986
241.5	2442665286171.5356
242.5	3676753858926.8857
243.5	3362400780974.775
244.5	3208819022024.803
245.5	2544053745647.653
246.5	2551338988513.518
247.5	2959464407899.0347
248.5	2300542067790.769
249.5	2941045270240.1978
250.5	3107648937046.3735
251.5	2419413906501.7344
252.5	2142037076643.5488
253.5	2756260113293.276
254.5	3086398422010.1006
255.5	4401986105476.667
256.5	5303170132260.88
257.5	6616981099050.349
258.5	7040611477073.755
259.5	5934444896818.492
260.5	4827453136498.149
261.5	4726044984881.666
262.5	6012131316528.791
263.5	8818251994211.002
264.5	13816173903420.797
265.5	14431720331395.188
266.5	14061732435392.629
