# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	153252.24449699823
1.5	12919403.18583374
2.5	17750814.403973766
3.5	20717771.471729156
4.5	31220654.979638606
5.5	51481373.67679575
6.5	77096549.85270588
7.5	70363749.22439998
8.5	72706658.41365905
9.5	65295452.57695999
10.5	52415436.370795816
11.5	37723905.40562752
12.5	22444199.953411117
13.5	24982109.66483121
14.5	57418090.166192204
15.5	59296911.250157535
16.5	89482423.99924666
17.5	551438327.5793062
18.5	507139509.2256765
19.5	423835585.1487169
20.5	322137122.51404154
21.5	249890304.73234415
22.5	308037063.0827335
23.5	182478630.11047935
24.5	238583694.71403298
25.5	424060140.4021261
26.5	137546169.01005408
27.5	191609384.02943984
28.5	286697738.94188434
29.5	102680736.14426246
30.5	2764819358.8675375
31.5	194944821.18715376
32.5	71496731.93067083
33.5	257450847.12876067
34.5	259051813.87362897
35.5	198811451.63624036
36.5	434462821.41149503
37.5	19516852.295936015
38.5	27644243.02170231
39.5	18009536.448837977
40.5	65212367.98146535
41.5	62933863.043642946
42.5	47105605.646677464
43.5	98667052.40292017
44.5	61143527.22587438
45.5	62286737.306764856
46.5	165499039.10593668
47.5	79781973.50099024
48.5	125573454.1208616
49.5	195054529.69974408
50.5	203318455.13952035
51.5	82371288.86006895
52.5	98685946.84305447
53.5	83708675.93531154
54.5	55855199.68627415
55.5	293503326.36335176
56.5	75052502.22158779
57.5	66932996.719640344
58.5	557130143.2934946
59.5	92329699.396494
60.5	233990568.2263174
61.5	193387114.08397156
62.5	446040483.71015996
63.5	385271302.2034857
64.5	53928947.553538874
65.5	49957505.54256753
66.5	56031184.973612614
67.5	46168221.83663066
68.5	96876841.4257566
69.5	73974521.39792338
70.5	162193397.585474
71.5	65231102.312494025
72.5	66704906.548377454
73.5	44615976.99381154
74.5	64115869.38195999
75.5	87196009.40080605
76.5	226045398.5088651
77.5	202699959.67949003
78.5	290438328.3343908
79.5	210346321.6376117
80.5	168647039.16208422
81.5	181704580.30247542
82.5	222710015.01215002
83.5	510904452.54708344
84.5	317729742.51538205
85.5	387912706.2542912
86.5	445348361.793567
87.5	538676950.6699873
88.5	644248030.9047246
89.5	750763924.9431689
90.5	905291177.990427
91.5	795012710.4084684
92.5	284582745.1103736
93.5	300552549.5867999
94.5	221720348.65722457
95.5	183700879.55094594
96.5	135039529.32195932
97.5	2264696143.003556
98.5	281042307.2532873
99.5	418786866.64974266
100.5	204904204.9757937
101.5	254867211.41566685
102.5	2044461738.6100118
103.5	1857828593.5388372
104.5	336516035.7471348
105.5	299912518.586817
106.5	323994922.24284613
107.5	369359626.6439839
108.5	566799424.3899816
109.5	419090231.7915743
110.5	484839117.3108575
111.5	458034667.84709615
112.5	481657376.4237551
113.5	326752399.5446948
114.5	399820360.44271034
115.5	424928114.4768301
116.5	523771269.3379557
117.5	1831366083.9694252
118.5	722479005.793465
119.5	1219787502.4240472
120.5	3705971537.06224
121.5	158548399877.47968
122.5	1543097453.0757158
123.5	993186778.9307808
124.5	742906461.3757113
125.5	663192937.922326
126.5	931047982.7563509
127.5	481127658.1810919
128.5	386636193.7739239
129.5	457684587.13618886
130.5	3898566256.986049
131.5	632475549.6405203
132.5	510022871.34313715
133.5	4895961623.304356
134.5	480624839.9686042
135.5	1092827459.4261382
136.5	693850857.0473276
137.5	752395459.9524136
138.5	747289518.6229186
139.5	2092820162.0292106
140.5	1800015669.0419052
141.5	1065611165.1981822
142.5	1159100454.2187984
143.5	1330991810.375855
144.5	1320012676.202496
145.5	1403632101.1126695
146.5	1748424878.5312898
147.5	2162386109.2799244
148.5	2237085446.069303
149.5	2031321569.1720543
150.5	2285710096.7521253
151.5	2486789371.1644588
152.5	3130517045.7430234
153.5	3473965030.340053
154.5	5912060894.277686
155.5	5313570066.444443
156.5	5347621828.203568
157.5	4737821613.366995
158.5	4744972028.146436
159.5	4697990832.532269
160.5	5318165129.509666
161.5	6302210083.728688
162.5	7330365673.6624565
163.5	7860203497.356357
164.5	9207397636.33101
165.5	14677939675.667122
166.5	10031008256.429802
167.5	12068216370.62458
168.5	13181955920.709295
169.5	17554985715.116093
170.5	20383922659.07853
171.5	20712095441.197422
172.5	22858054121.194473
173.5	23206291458.144554
174.5	28727056055.241665
175.5	35473542843.55484
176.5	38610613573.93951
177.5	47253888294.65385
178.5	52962981528.46596
179.5	53090197250.69422
180.5	66526094280.942665
181.5	78898854534.77693
182.5	76574187192.48305
183.5	82615508947.46573
184.5	71799229859.9759
185.5	82434764188.88159
186.5	96416942825.96638
187.5	108721443700.8296
188.5	117306993012.00449
189.5	130667926758.70033
190.5	138117130810.75085
191.5	147976496015.16162
192.5	159720855092.74658
193.5	123971243062.97568
194.5	203826111610.84164
195.5	199801119899.04724
196.5	226325792825.60617
197.5	231532240717.64557
198.5	234081177913.5834
199.5	255215760521.17188
200.5	279759878944.64276
201.5	313590389020.5933
202.5	311280011689.84814
203.5	362121791174.013
204.5	402172311435.57074
205.5	415263366724.67334
206.5	432149591079.73126
207.5	501243027760.96643
208.5	577514674440.6874
209.5	834622084176.3534
210.5	1091782316425.4009
211.5	1322988208853.6743
212.5	1269139346272.5974
213.5	1150165766314.456
214.5	1638837807829.064
215.5	1350763454444.7764
216.5	1306045921112.345
217.5	1264112849365.3823
218.5	1803183527611.73
219.5	1900650077090.7625
220.5	1884106049772.359
221.5	1343520834702.439
222.5	1990286163947.7554
223.5	2540351095306.7734
224.5	2355473585941.957
225.5	2082327016542.4985
226.5	1473472378241.886
227.5	1496242041745.397
228.5	2155381801059.6821
229.5	1834815202648.8796
230.5	2248785259045.493
231.5	1949022719780.8496
232.5	2111067951651.748
233.5	1784943093148.8584
234.5	1449518358262.2937
235.5	2344442025190.764
236.5	1810629003165.006
237.5	2209998178810.1494
238.5	1522692364680.7878
239.5	1889792293085.5354
240.5	1742484574159.13
241.5	2043523490032.4277
242.5	3075956792082.9043
243.5	2812970331106.923
244.5	2684484478447.729
245.5	2128344648187.248
246.5	2134439451683.7686
247.5	2475875458538.729
248.5	1924623804150.6548
249.5	2460466085553.7925
250.5	2599846011477.891
251.5	2024071483734.2693
252.5	1792019196171.6396
253.5	2305875601557.433
254.5	2582067920104.606
255.5	3682683034906.085
256.5	4436609795973.679
257.5	5535738517086.535
258.5	5890145907031.88
259.5	4964731605106.221
260.5	4038626961013.733
261.5	3953789328497.2227
262.5	5029723736624.712
263.5	7377312476339.834
264.5	11558552894598.557
265.5	12073516443592.508
266.5	11763986128166.473
267.5	11825414015270.355
268.5	11838730831740.127
269.5	10573442366379.729
270.5	13357450193402.17
271.5	11169555551419.262
272.5	8903125861411.826
273.5	10185678629709.664
274.5	6001567370681.912
275.5	8649094801114.895
276.5	12066689898654.633
277.5	12021246319191.725
278.5	7940667222632.738
279.5	3791663168125.265
280.5	4402706008103.6455
281.5	10354616345642.617
282.5	14483808861724.139
283.5	16099709561554.389
284.5	12350354342750.943
285.5	6305917897815.693
286.5	16832327741925.057
287.5	18423052938867.31
288.5	15244015812915.459
289.5	22767248640963.375
290.5	30506660094344.812
291.5	28405770141604.688
292.5	24835061920628.133
293.5	28186966717280.74
294.5	25475155363521.395
295.5	28608493264303.125
296.5	25475137025453.94
297.5	27349088926674.742
298.5	20312636891936.26
299.5	28309135864954.793
300.5	18749001324275.977
301.5	25564170173142.688
302.5	25184530127873.812
303.5	33052892615599.156
304.5	31149620608918.133
305.5	32669649248798.6
306.5	29759426646356.418
307.5	34474062400913.31
308.5	34691951150700.65
309.5	26332290390035.254
310.5	34865373964716.098
311.5	39899479498496.02
312.5	37220255607686.234
313.5	38607824260105.016
314.5	37955867682090.65
315.5	35275805795009.266
316.5	36987264166743.41
317.5	41855470508849.766
318.5	38733595904731.92
319.5	41104449897276.17
320.5	43867477759651.88
321.5	41335104496324.51
322.5	39324072044585.97
323.5	39599625308898.016
324.5	44581194927342.41
325.5	51544961195248.84
326.5	56838751139439.26
327.5	56169316892160.38
328.5	56307075730850.24
329.5	60917393699708.51
330.5	60856461705241.195
331.5	58122547449657.32
332.5	57065565640041.13
333.5	56383452466857.805
334.5	57788651829641.18
335.5	56327220151729.78
336.5	51879583686695.414
337.5	52619342080548.484
338.5	56574767627021.875
339.5	60201464560327.26
340.5	61276966099799.44
341.5	60527613806579.87
342.5	61339889003536.07
343.5	58507491422274.96
344.5	55091671629059.26
345.5	57333796285196.31
346.5	59170998364267.32
347.5	58536482039968.45
348.5	58300478433053.93
349.5	60470109546749.73
350.5	64194596894417.86
351.5	63856875120627.91
352.5	63063369759660.01
353.5	67185101566403.36
354.5	70662198054636.33
355.5	68242965533791.63
356.5	61660056070067.54
357.5	54793752862929.03
358.5	54770819393836.75
359.5	61220182530045.35
360.5	63931019254408.914
361.5	63775345547277.305
362.5	65266157984200.234
363.5	67652737959436.625
364.5	71581294820401.8
365.5	76845045774524.7
366.5	80560871195365.66
367.5	80696020979137.4
368.5	80038771920354.12
369.5	81221646707852.62
370.5	80873045432206.19
371.5	78477602264619.66
372.5	72779361427994.94
373.5	67938620026014.03
374.5	67064278568322.86
375.5	71011477817718.28
376.5	78561484009826.97
377.5	84664710852401.47
378.5	86155196479034.64
379.5	83912629181185.67
380.5	79668213259420.86
381.5	71839108851105.62
382.5	63484458850902.27
383.5	60060073518749.61
384.5	63524855405164.6
385.5	68286393938907.34
