# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	222957.55888918808
1.5	18795669.88446365
2.5	25824602.183118746
3.5	30141051.23302954
4.5	45421070.62789635
5.5	74897183.01297252
6.5	112163176.53523555
7.5	102368026.07919067
8.5	105776585.05495486
9.5	94994463.28441143
10.5	76256095.16977157
11.5	54882262.17248062
12.5	32652729.160722915
13.5	36344982.77695279
14.5	83534158.09048238
15.5	86267542.93483065
16.5	130182646.8110887
17.5	802254765.0023276
18.5	737807053.752041
19.5	616613138.3281598
20.5	468658104.80658126
21.5	363550514.4871798
22.5	448144768.50070745
23.5	265477285.8460319
24.5	347101201.2828693
25.5	616939830.3860815
26.5	200107725.5194264
27.5	278761075.6611246
28.5	417099457.32497436
29.5	149384084.721304
30.5	4022370941.749897
31.5	283613604.4378026
32.5	104016335.1090709
33.5	374549897.1201451
34.5	376879048.24266326
35.5	289238934.68261904
36.5	632074071.1364495
37.5	28393905.481677767
38.5	40217961.97300682
39.5	26201001.4700791
40.5	94873588.45707315
41.5	91558727.38915715
42.5	68531138.83878988
43.5	143544815.40384597
44.5	88954074.4861494
45.5	90617262.7139593
46.5	240774690.6329236
47.5	116070039.38850038
48.5	182689336.02874017
49.5	283773212.8157209
50.5	295795905.5269579
51.5	119837080.01847157
52.5	143572303.7989605
53.5	121782764.7852084
54.5	81260401.85704264
55.5	427000500.949344
56.5	109189413.43256046
57.5	97376828.68351953
58.5	810535448.5345507
59.5	134324978.12988347
60.5	340418935.24016607
61.5	281347389.1903212
62.5	648917722.1526294
63.5	560508260.9477236
64.5	78458012.40604728
65.5	72680198.06510638
66.5	81516432.36539951
67.5	67167394.98814519
68.5	140940344.12399572
69.5	107621123.36436324
70.5	235965509.75349092
71.5	94900843.91899009
72.5	97044993.88424265
73.5	64909126.457793824
74.5	93278357.98019803
75.5	126856278.4492413
76.5	328859981.2360819
77.5	294896093.3355932
78.5	422541417.9468064
79.5	306020329.7352718
80.5	245354528.33908805
81.5	264351166.9026021
82.5	324007530.5275936
83.5	743284445.4538864
84.5	462246070.26298666
85.5	564351082.3115515
86.5	647910795.2166895
87.5	783688998.1314721
88.5	937278072.2470729
89.5	1092241699.6683738
90.5	1317054192.5251646
91.5	1156616621.0506692
92.5	414022478.82272106
93.5	437255995.78482586
94.5	322567723.91769266
95.5	267255463.7284801
96.5	196460964.79688892
97.5	3294771475.139618
98.5	408871706.7436192
99.5	609268058.6150073
100.5	298102918.47587013
101.5	370791119.4686922
102.5	2974365562.990249
103.5	2702844120.877238
104.5	489577128.8929966
105.5	436324852.8195925
106.5	471360906.9338766
107.5	537359312.283205
108.5	824602709.451753
109.5	609709406.4836591
110.5	705363542.337775
111.5	666367345.9725994
112.5	700734617.1071227
113.5	475372596.3543507
114.5	581674818.8653644
115.5	618202594.148598
116.5	762003610.5257134
117.5	2664345392.4896517
118.5	1051091656.1718198
119.5	1774596155.486206
120.5	5391597166.67245
121.5	230662619777.56622
122.5	2244960538.066533
123.5	1444928265.0197
124.5	1080810344.115892
125.5	964839888.6230135
126.5	1354526233.0440114
127.5	699963961.5994601
128.5	562493960.3656482
129.5	665858034.4060757
130.5	5671791748.814446
131.5	920150990.7263379
132.5	742001885.4898247
133.5	7122842836.852983
134.5	699232441.3428452
135.5	1589889553.9210029
136.5	1009442268.3869618
137.5	1094615322.7373044
138.5	1087186992.9376848
139.5	3044719351.7563615
140.5	2618735541.8454094
141.5	1550294189.1484249
142.5	1686306185.1275811
143.5	1936380676.948025
144.5	1920407788.8376856
145.5	2042060707.6244981
146.5	2543679174.8005824
147.5	3145926703.2815585
148.5	3254602317.370378
149.5	2955248713.4400644
150.5	3325343424.31902
151.5	3617881679.228958
152.5	4554402716.062853
153.5	5054064724.293115
154.5	8601105121.29042
155.5	7730396477.320883
156.5	7779936356.509011
157.5	6892774359.265128
158.5	6903177071.665864
159.5	6834826929.570323
160.5	7737081560.774812
161.5	9168709929.742636
162.5	10664512234.252415
163.5	11435341713.231209
164.5	13395294192.631887
165.5	21354059840.041054
166.5	14593516208.466923
167.5	17557328905.507133
168.5	19177642214.06748
169.5	25539702692.272903
170.5	29655354488.091526
171.5	30132793514.41871
172.5	33254820929.675114
173.5	33761450681.26732
174.5	41793282135.42088
175.5	51608343770.16208
176.5	56172281051.50472
177.5	68746866427.81772
178.5	77052685993.84999
179.5	77237764567.89261
180.5	96784850570.991
181.5	114785242225.74483
182.5	111403222226.1786
183.5	120192381271.6206
184.5	104456421321.89119
185.5	119929426492.14445
186.5	140271265054.5026
187.5	158172350206.06866
188.5	170662954323.64682
189.5	190100980712.238
190.5	200938383822.14917
191.5	215282186781.69064
192.5	232368355008.79095
193.5	180358374629.3559
194.5	296534464678.0594
195.5	290678744068.183
196.5	329267910220.0402
197.5	336842461028.76
198.5	340550757875.13525
199.5	371298202793.77795
200.5	407005978211.6539
201.5	456223971509.3491
202.5	452862741196.106
203.5	526829416728.8342
204.5	585096532222.4268
205.5	604141928523.9398
206.5	628708690162.0221
207.5	729228614214.5187
208.5	840191688275.7426
209.5	1214241938796.603
210.5	1588369037644.7202
211.5	1924736713992.937
212.5	1846395212441.412
213.5	1673307640074.4417
214.5	2384247475449.101
215.5	1965145263798.2944
216.5	1900088389074.74
217.5	1839082461598.023
218.5	2623344270519.8413
219.5	2765142545752.43
220.5	2741073626192.9546
221.5	1954608407891.1316
222.5	2895548747499.1577
223.5	3695805440175.248
224.5	3426838167840.7812
225.5	3029453499628.2886
226.5	2143667165343.8142
227.5	2176793392030.6306
228.5	3135736552607.9526
229.5	2669363309738.527
230.5	3271623678128.8657
231.5	2835517021288.493
232.5	3071266973572.3936
233.5	2596807349287.345
234.5	2108817888990.5574
235.5	3410789007426.221
236.5	2634176249259.0503
237.5	3215194666246.5586
238.5	2215274390810.528
239.5	2749346202770.9805
240.5	2535036979926.226
241.5	2973000561040.843
242.5	4475026254019.105
243.5	4092422922155.604
244.5	3905496511030.5073
245.5	3096401809919.276
246.5	3105268776363.738
247.5	3602003678061.9976
248.5	2800020492762.557
249.5	3579585499483.2056
250.5	3782361048671.3384
251.5	2944700996137.443
252.5	2607101949941.2275
253.5	3354681015686.222
254.5	3756496762850.8833
255.5	5357716112545.222
256.5	6454559234031.48
257.5	8053616118115.927
258.5	8569222312164.525
259.5	7222892185674.741
260.5	5875557721500.901
261.5	5752132505055.282
262.5	7317445365224.761
263.5	10732812340113.541
264.5	16815849882849.383
265.5	17565039665860.053
266.5	17114722453501.438
267.5	17204090226230.344
268.5	17223464069021.492
269.5	15382671273762.125
270.5	19432958374473.883
271.5	16249920826904.404
272.5	12952627317523.309
273.5	14818536918422.22
274.5	8731322760512.336
275.5	12583052664494.686
276.5	17555108132393.828
277.5	17488994976416.947
278.5	11552403592655.125
279.5	5516264814717.365
280.5	6405234633237.478
281.5	15064314335075.088
282.5	21071630486239.668
283.5	23422508129983.02
284.5	17967794629788.723
285.5	9174104207525.432
286.5	24488350667098.242
287.5	26802601971787.715
288.5	22177610282127.94
289.5	33122713447187.426
290.5	44382322013107.95
291.5	41325862403689.74
292.5	36131051775842.26
293.5	41007538339177.8
294.5	37062285585545.13
295.5	41620792195521.414
296.5	37062258906583.484
297.5	39788559867089.98
298.5	29551645073082.637
299.5	41185274952604.77
300.5	27276804855883.234
301.5	37191787928060.836
302.5	36639472247285.36
303.5	48086683989445.94
304.5	45317726954561.93
305.5	47529126050880.15
306.5	43295216593995.44
307.5	50154259228821.445
308.5	50471252587851.52
309.5	38309280262701.02
310.5	50723555106457.27
311.5	58047375287271.07
312.5	54149532091739.64
313.5	56168223045009.9
314.5	55219730266891.54
315.5	51320667920517.1
316.5	53810566727250.62
317.5	60893030059304.17
318.5	56351200716596.586
319.5	59800414921552.03
320.5	63820179521803.38
321.5	60135980554010.92
322.5	57210249268585.305
323.5	57611135293821.734
324.5	64858524101798.76
325.5	74989692704668.42
326.5	82691312260732.69
327.5	81717392263019.1
328.5	81917809388983.62
329.5	88625086293236.28
330.5	88536439965156.23
331.5	84559031016674.12
332.5	83021291162776.47
333.5	82028925351246.11
334.5	84073266174489.06
335.5	81947116306603.53
336.5	75476515028786.53
337.5	76552745437043.27
338.5	82307258378137.02
339.5	87583523647429.78
340.5	89148206752785.38
341.5	88058018751998.72
342.5	89239749536131.78
343.5	85119063065311.53
344.5	80149590381890.83
345.5	83411523945724.34
346.5	86084359779745.9
347.5	85161239787569.97
348.5	84817892202290.47
349.5	87974359230798.64
350.5	93392893947045.6
351.5	92901562661718.75
352.5	91747138993552.84
353.5	97743601003252.27
354.5	102802221499043.94
355.5	99282624255928.61
356.5	89705541523876.31
357.5	79716166120721.36
358.5	79682801583043.89
359.5	89065595720634.19
360.5	93009430544032.81
361.5	92782950143440.88
362.5	94951844326941.64
363.5	98423937327073.5
364.5	104139360618608.55
365.5	111797278237915.34
366.5	117203211232947.69
367.5	117399832600374.05
368.5	116443640107340.7
369.5	118164534153348.61
370.5	117657374929032.61
371.5	114172387398469.3
372.5	105882356338458.19
373.5	98839850111277.75
374.5	97567822822657.8
375.5	103310367814301.8
376.5	114294421951425.9
377.5	123173643020152.42
378.5	125342061746835.84
379.5	122079484209950.72
380.5	115904536391515.22
381.5	104514438889871.55
382.5	92359756421548.03
383.5	87377822245910.86
384.5	92418526961290.67
385.5	99345805654823.17
386.5	102763402944637.48
387.5	104702403918740.3
388.5	109577862366635.39
389.5	118487120445907.12
390.5	124043605956335.5
391.5	118733669739372.62
392.5	106768619303698.31
393.5	99850222543978.47
394.5	101640538098230.2
395.5	106830357082701.61
396.5	112647424946189.12
397.5	124406433497961.7
398.5	143923765494687.97
399.5	164038543108860.72
400.5	178077971201568.53
401.5	183971838159080.78
402.5	185421070567837.1
403.5	184241800412131.78
404.5	181856193859019.5
405.5	179628943011905.88
406.5	179959339343839.72
407.5	181126268165859.94
408.5	183241408178443.9
409.5	185557613780300.47
410.5	187385794228025.25
411.5	191039696386732.62
412.5	193409419563350.84
413.5	195575797672013.16
414.5	196414047909791.12
415.5	195770356288271.34
416.5	195292203462048.4
417.5	193636804913213.84
418.5	193558136206718.25
419.5	193692852425456.22
420.5	194057133779132.12
421.5	194794394129633.75
422.5	193818848392453.94
423.5	193065687795983.94
424.5	192004864434742.1
425.5	190509395660141.47
