# λ (nm)	photon flux (γ/s/cm^2/nm)
0.5	16153.793165486191
1.5	1578047.7489452146
2.5	4241080.339937564
3.5	5992974.1768405745
4.5	10412362.98691533
5.5	20515457.676620826
6.5	51636238.13961023
7.5	49099221.601200014
8.5	54960547.16466902
9.5	53628282.84292023
10.5	44831322.99849468
11.5	34519554.218145005
12.5	18636274.832079463
13.5	21770049.105295915
14.5	49445299.89450137
15.5	42839881.524694905
16.5	76527088.40146191
17.5	564279728.0161418
18.5	449978988.1710762
19.5	326361198.510035
20.5	208889712.16266206
21.5	151574549.03511387
22.5	256000716.37309995
23.5	161489488.10150138
24.5	198047253.0329416
25.5	344874497.3713243
26.5	84242984.07075757
27.5	133518012.95977189
28.5	84441255.97209172
29.5	91846279.4251387
30.5	2877810140.4930043
31.5	207227336.1771797
32.5	63923964.78099907
33.5	95412327.53218208
34.5	234169628.13065046
35.5	170707113.34802285
36.5	364491843.7769821
37.5	19260422.435641803
38.5	25824944.768747903
39.5	16218256.090384135
40.5	59673113.434277825
41.5	33286533.453360565
42.5	42806473.38560059
43.5	101498490.26787266
44.5	51640197.91140903
45.5	61081850.62208451
46.5	182962163.86515495
47.5	76135193.4479733
48.5	115467027.32263
49.5	132127904.48799667
50.5	162895376.1120446
51.5	60913014.84832014
52.5	64246502.78738196
53.5	85367344.04376183
54.5	50898308.95430629
55.5	345958529.6163846
56.5	74323147.39644836
57.5	60027007.11534223
58.5	546225222.098361
59.5	93249439.42783497
60.5	205155431.7583836
61.5	161703875.7449085
62.5	469274818.5947949
63.5	428368114.2983449
64.5	52569126.95022689
65.5	49357801.86138618
66.5	54502369.31540015
67.5	43577507.24578992
68.5	106638952.79173866
69.5	70324423.98422503
70.5	181001094.8206953
71.5	65427439.58522746
72.5	57348016.12302073
73.5	42629569.49021079
74.5	66552679.78386232
75.5	95193481.56058137
76.5	262058825.71685782
77.5	231534418.37819332
78.5	334322513.9404969
79.5	230429609.87277701
80.5	174582898.5763163
81.5	184462081.96253234
82.5	221972439.63324028
83.5	564409104.7090397
84.5	319782067.6585542
85.5	395876328.22972757
86.5	452935078.80165267
87.5	556019795.3787841
88.5	660191022.0877601
89.5	753300737.8696975
90.5	914775330.8784981
91.5	792225020.324112
92.5	286524248.4010079
93.5	308919974.6670393
94.5	222319592.89691466
95.5	183007356.83112857
96.5	132101611.5215802
97.5	2493530238.9013977
98.5	291706621.8378904
99.5	425852430.01583105
100.5	188655149.0363649
101.5	255361569.86894014
102.5	2020884650.1725845
103.5	1944661108.1752255
104.5	309475285.49820083
105.5	301603692.36839306
106.5	333017958.91012
107.5	383900298.1320989
108.5	547620938.8311919
109.5	429286625.0032225
110.5	511681535.6452321
111.5	475484228.55874056
112.5	503758147.6202924
113.5	326745615.499486
114.5	418028965.4873708
115.5	460970383.25897425
116.5	596937720.2977277
117.5	1963216435.41125
118.5	802385188.2755916
119.5	1304848967.8996327
120.5	3568716525.813283
121.5	159460650946.65656
122.5	1643341630.6159732
123.5	1068859933.5033127
124.5	770700719.6177253
125.5	704752223.4626476
126.5	941965683.8050413
127.5	521530515.0275257
128.5	420105650.5963165
129.5	468329537.44330317
130.5	4092593977.2696543
131.5	688725929.4062808
132.5	548926231.969187
133.5	4855128430.28235
134.5	522373949.01252335
135.5	1194843151.7725296
136.5	746859990.1314234
137.5	815983089.3422841
138.5	817134167.1285034
139.5	2046626075.7830899
140.5	1824997395.3134568
141.5	1159277680.9744518
142.5	1269710011.7722054
143.5	1457639346.0480518
144.5	1431922004.2113607
145.5	1543710442.5999777
146.5	1914991002.0440824
147.5	2414367421.6278796
148.5	2490462919.3502274
149.5	2251527393.624764
150.5	2542766412.718938
151.5	2761426738.3094244
152.5	3431326867.81019
153.5	3825586759.0789633
154.5	6386973206.54359
155.5	5800340023.85307
156.5	5961069974.523376
157.5	5371700252.531202
158.5	5412689654.430968
159.5	5401060071.762182
160.5	6050402070.242716
161.5	7213204677.915768
162.5	8370166572.713443
163.5	8971109529.023565
164.5	10397621866.29101
165.5	16726864503.33997
166.5	11552533333.082565
167.5	13591770056.383902
168.5	15275823478.780247
169.5	20210122349.177856
170.5	23352041996.897934
171.5	23669426167.764256
172.5	25996525009.7016
173.5	26562635143.987244
174.5	32729933736.214294
175.5	40305440462.22411
176.5	44001550483.257706
177.5	53359150426.58807
178.5	59813601135.234604
179.5	59921323413.59629
180.5	76400432405.76022
181.5	90424911173.54707
182.5	88743271156.5404
183.5	95461112554.59927
184.5	83352874850.43228
185.5	95528701659.57657
186.5	110956598756.3854
187.5	125263179916.47285
188.5	135493769275.0088
189.5	149161839796.10587
190.5	159115742182.16687
191.5	170980995790.62402
192.5	183337912965.13513
193.5	143942602661.59128
194.5	236351871206.83347
195.5	231671876851.56805
196.5	262917997035.30988
197.5	269590681776.89072
198.5	274157535076.67706
199.5	298443764176.7425
200.5	326770746078.1883
201.5	367212573375.38214
202.5	364419083143.1768
203.5	424414282244.6247
204.5	471312161895.20953
205.5	485821835161.12683
