# CROSS SECTIONS FOR HDO AT 298 K
#
# Original data from...
# ...Cheng 1999:
# https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm or http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
# wvs 140-195 in 0.2 nm steps at 298K
# 
# ...and Cheng et al 2004.
# wvs 125-140 in 1 nm steps at 300K. Applied to 300K (because it's close enough) and interpolated for steps of 0.5 nm by me.
# UPDATE 11/3/22: 
# for 123.5 and 124.5, the values are extrapolated.
# For 121.5 and 122.5, the values are the SAME as in h2oavgtbl.dat (I copy/pasted them) because lyman alpha is important!!!
#	Wavelength [nm]	cm^2/molecule
121.5	1.276e-17
122.5	8.26e-18
123.5	5.8312717e-18
124.5	6.7671548e-18
125.5	7.8750000e-18
126.5	8.5200000e-18
127.5	8.5400000e-18
128.5	8.0950000e-18
129.5	7.3150000e-18
130.5	6.4550000e-18
131.5	5.8500000e-18
132.5	5.3900000e-18
133.5	4.3300000e-18
134.5	3.1850000e-18
135.5	2.4150000e-18
136.5	1.7950000e-18
137.5	1.3300000e-18
138.5	9.6500000e-19
139.5	6.8200000e-19
140.5	5.0150000e-19
141.5	4.2800000e-19
142.5	3.8500000e-19
143.5	3.9100000e-19
144.5	4.1900000e-19
145.5	5.0400000e-19
146.5	5.8100000e-19
147.5	7.0650000e-19
148.5	8.6450000e-19
149.5	1.0800000e-18
150.5	1.3150000e-18
151.5	1.5150000e-18
152.5	1.8025000e-18
153.5	2.1300000e-18
154.5	2.4600000e-18
155.5	3.0100000e-18
156.5	3.3250000e-18
157.5	3.7600000e-18
158.5	4.1900000e-18
159.5	4.4950000e-18
160.5	4.8750000e-18
161.5	5.4500000e-18
162.5	5.5200000e-18
163.5	5.8750000e-18
164.5	6.0900000e-18
165.5	6.2900000e-18
166.5	6.1650000e-18
167.5	6.0800000e-18
168.5	5.9700000e-18
169.5	5.6200000e-18
170.5	5.4200000e-18
171.5	4.9250000e-18
172.5	4.1750000e-18
173.5	3.6650000e-18
174.5	3.1900000e-18
175.5	2.7700000e-18
176.5	2.1150000e-18
177.5	1.5150000e-18
178.5	9.1350000e-19
179.5	5.4600000e-19
180.5	3.1650000e-19
181.5	1.7850000e-19
182.5	1.0350000e-19
183.5	6.1200000e-20
184.5	3.6450000e-20
185.5	2.2300000e-20
186.5	1.3700000e-20
187.5	8.2850000e-21
188.5	4.8750000e-21
189.5	3.1900000e-21
190.5	1.9200000e-21
191.5	1.1750000e-21
192.5	6.2400000e-22
193.5	4.1000000e-22
194.5	2.3750000e-22
195.5	1.4354909e-22
196.5	8.6164095e-23
197.5	5.1719251e-23
198.5	3.1044033e-23
199.5	1.8633912e-23
200.5	1.1184844e-23
201.5	6.7136057e-24
202.5	4.0297837e-24
203.5	2.4188427e-24
204.5	1.4518894e-24
205.5	8.7148403e-25
206.5	5.2310074e-25
207.5	3.1398668e-25
208.5	1.8846779e-25
209.5	1.1312615e-25
210.5	6.7902995e-26
211.5	4.0758185e-26
212.5	2.4464747e-26
213.5	1.4684753e-26
214.5	8.8143956e-27
215.5	5.2907645e-27
216.5	3.1757356e-27
217.5	1.9062078e-27
218.5	1.1441847e-27
219.5	6.8678696e-28
