# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#λ	 H2O		HDO	 	D2O
# nm cm2/molecule cm2/molecule cm2/molecule
140	7.81E-19	3.47E-19	 6.72E-19
140.2	7.36E-19	3.4E-19	 	4.13E-19
140.4	7.58E-19	2.36E-19	 5.45E-19
140.6	8.41E-19	2.82E-19	 4.51E-19
140.8	8.49E-19	2.31E-19	 5.86E-19
141	8.42E-19	2.76E-19	 5.33E-19
141.2	7.86E-19	2.54E-19	 4.7E-19
141.4	7.1E-19	 	2.78E-19	 3.72E-19
141.6	6.93E-19	2.12E-19	 4.67E-19
141.8	6.39E-19	2.49E-19	 4.86E-19
142	6.32E-19	2.68E-19	 3.27E-19
142.2	5.59E-19	2.52E-19	 3.2E-19
142.4	5.71E-19	2.87E-19	 3.6E-19
142.6	5.97E-19	2.19E-19	 3.82E-19
142.8	6.11E-19	2.48E-19	 3.27E-19
143	6.2E-19	 	2.07E-19	 3.77E-19
143.2	5.86E-19	2.55E-19	 3.92E-19
143.4	5.9E-19	 	2.76E-19	 3.5E-19
143.6	6.02E-19	2.48E-19	 3.12E-19
143.8	6.12E-19	2.85E-19	 3.73E-19
144	6.09E-19	3.2E-19	 	3.95E-19
144.2	6.01E-19	3.04E-19	 4.16E-19
144.4	6.12E-19	2.69E-19	 4.64E-19
144.6	6.01E-19	3.33E-19	 3.86E-19
144.8	6.24E-19	3.51E-19	 3.99E-19
145	6.42E-19	3.67E-19	 4.04E-19
145.2	6.72E-19	4.01E-19	 4.88E-19
145.4	6.57E-19	3.74E-19	 5.51E-19
145.6	6.89E-19	4.3E-19	 	4.45E-19
145.8	6.98E-19	4.34E-19	 4.88E-19
146	7.32E-19	4.18E-19	 6.73E-19
146.2	7.39E-19	4.71E-19	 6.81E-19
146.4	7.99E-19	4.92E-19	 5.23E-19
146.6	7.92E-19	5.24E-19	 6.19E-19
146.8	8.1E-19	 	5.08E-19	 8.27E-19
147	8.2E-19	 	5.62E-19	 5.6E-19
147.2	8.76E-19	5.84E-19	 7.31E-19
147.4	8.89E-19	6.36E-19	 5.14E-19
147.6	9.13E-19	6.58E-19	 7.73E-19
147.8	9.47E-19	6.99E-19	 7.47E-19
148	9.67E-19	7.17E-19	 7.56E-19
148.2	1.02E-18	7.4E-19	 	 7.51E-19
148.4	1.05E-18	7.97E-19	 8.72E-19
148.6	1.08E-18	7.89E-19	 8.29E-19
148.8	1.12E-18	8.87E-19	 8.83E-19
149	1.15E-18	8.73E-19	 1.15E-18
149.2	1.17E-18	9.28E-19	 1.06E-18
149.4	1.22E-18	9.5E-19	 	1.08E-18
149.6	1.26E-18	1.07E-18	 1.02E-18
149.8	1.28E-18	1.03E-18	 1.15E-18
150	1.33E-18	1.15E-18	 1.1E-18
150.2	1.37E-18	1.16E-18	 1.24E-18
150.4	1.43E-18	1.2E-18	 	1.18E-18
150.6	1.45E-18	1.19E-18	 1.35E-18
150.8	1.5E-18	 	1.29E-18	 1.39E-18
151	1.55E-18	1.35E-18	 1.29E-18
151.2	1.59E-18	1.44E-18	 1.39E-18
151.4	1.64E-18	1.47E-18	 1.15E-18
151.6	1.7E-18	 	1.54E-18	 1.42E-18
151.8	1.74E-18	1.62E-18	 1.45E-18
152	1.76E-18	1.62E-18	 1.84E-18
152.2	1.82E-18	1.68E-18	 1.89E-18
152.4	1.9E-18	 	1.81E-18	 1.96E-18
152.6	1.94E-18	1.82E-18	 2.11E-18
152.8	1.98E-18	1.94E-18	 2.18E-18
153	2.07E-18	2E-18	 	2.38E-18
153.2	2.11E-18	2.05E-18	 2.18E-18
153.4	2.17E-18	2.15E-18	 2.16E-18
153.6	2.23E-18	2.26E-18	 2.39E-18
153.8	2.27E-18	2.33E-18	 2.45E-18
154	2.35E-18	2.4E-18	 	2.48E-18
154.2	2.4E-18	 	2.5E-18	 	2.66E-18
