# from Cheng 1999, https://web.archive.org/web/20010303004339/http://ams-bmc.srrc.gov.tw:80/database.htm
# aka http://140.110.206.16/wp-content/uploads/2014/02/H2O-HOD-and-D2O.pdf
#wavelength	H2O	 HDO		D2O
#  nm	cm2/molecule	 cm2/molecule	cm2/molecule
140.0	7.99E-19	5.74E-19	3.82E-19
140.2	6.92E-19	5.51E-19	3.44E-19
140.4	7.12E-19	5.32E-19	3.03E-19
140.6	7.46E-19	4.71E-19	2.79E-19
140.8	8.20E-19	5.10E-19	2.58E-19
141.0	8.03E-19	4.97E-19	2.66E-19
141.2	7.73E-19	4.80E-19	2.74E-19
141.4	7.13E-19	4.30E-19	2.70E-19
141.6	6.44E-19	4.26E-19	2.60E-19
141.8	6.29E-19	4.28E-19	2.45E-19
142.0	5.99E-19	3.90E-19	2.41E-19
142.2	5.60E-19	3.79E-19	2.38E-19
142.4	5.26E-19	3.68E-19	2.43E-19
142.6	5.58E-19	4.02E-19	2.36E-19
142.8	5.88E-19	3.84E-19	2.49E-19
143.0	5.93E-19	3.99E-19	2.46E-19
143.2	5.78E-19	4.01E-19	2.48E-19
143.4	5.36E-19	4.00E-19	2.64E-19
143.6	5.85E-19	3.82E-19	2.67E-19
143.8	5.83E-19	3.85E-19	2.75E-19
144.0	5.66E-19	3.71E-19	2.84E-19
144.2	5.79E-19	4.18E-19	2.90E-19
144.4	5.60E-19	4.30E-19	3.04E-19
144.6	5.74E-19	4.08E-19	3.23E-19
144.8	5.73E-19	4.37E-19	3.31E-19
145.0	6.00E-19	4.36E-19	3.51E-19
145.2	6.03E-19	4.50E-19	3.66E-19
145.4	6.26E-19	5.11E-19	3.66E-19
145.6	6.57E-19	4.97E-19	4.02E-19
145.8	6.47E-19	4.99E-19	4.13E-19
146.0	6.60E-19	5.42E-19	4.33E-19
146.2	6.95E-19	5.46E-19	4.55E-19
146.4	6.98E-19	5.78E-19	4.72E-19
146.6	7.47E-19	5.84E-19	4.99E-19
146.8	7.52E-19	6.10E-19	5.22E-19
147.0	7.90E-19	6.22E-19	5.43E-19
147.2	8.12E-19	6.56E-19	5.68E-19
147.4	8.39E-19	7.06E-19	5.80E-19
147.6	8.31E-19	7.07E-19	6.18E-19
147.8	8.72E-19	7.19E-19	6.52E-19
148.0	9.09E-19	8.05E-19	6.68E-19
148.2	9.27E-19	8.24E-19	7.13E-19
148.4	9.69E-19	8.40E-19	7.40E-19
148.6	1.00E-18	8.89E-19	7.67E-19
148.8	1.04E-18	9.05E-19	8.18E-19
149.0	1.07E-18	9.41E-19	8.38E-19
149.2	1.09E-18	1.00E-18	8.79E-19
149.4	1.12E-18	1.07E-18	9.21E-19
149.6	1.15E-18	1.09E-18	9.63E-19
149.8	1.20E-18	1.14E-18	1.01E-18
150.0	1.21E-18	1.21E-18	1.04E-18
150.2	1.28E-18	1.26E-18	1.09E-18
150.4	1.30E-18	1.32E-18	1.13E-18
150.6	1.37E-18	1.31E-18	1.19E-18
150.8	1.40E-18	1.29E-18	1.27E-18
151.0	1.43E-18	1.32E-18	1.33E-18
151.2	1.47E-18	1.46E-18	1.37E-18
151.4	1.53E-18	1.42E-18	1.43E-18
151.6	1.63E-18	1.61E-18	1.48E-18
151.8	1.63E-18	1.56E-18	1.55E-18
152.0	1.69E-18	1.69E-18	1.66E-18
152.2	1.76E-18	1.70E-18	1.74E-18
152.4	1.79E-18	1.75E-18	1.87E-18
152.8	1.86E-18	1.96E-18	1.91E-18
153.0	1.94E-18	2.08E-18	1.98E-18
153.2	1.99E-18	2.05E-18	2.07E-18
153.4	2.03E-18	2.13E-18	2.14E-18
153.6	2.10E-18	2.13E-18	2.23E-18
153.8	2.13E-18	2.30E-18	2.27E-18
154.0	2.20E-18	2.35E-18	2.38E-18
154.2	2.27E-18	2.37E-18	2.45E-18
154.4	2.36E-18	2.40E-18	2.51E-18
154.6	2.37E-18	2.52E-18	2.61E-18
154.8	2.46E-18	2.62E-18	2.65E-18
155.0	2.46E-18	2.85E-18	2.73E-18
155.2	2.56E-18	2.89E-18	2.83E-18
155.4	2.59E-18	3.00E-18	2.93E-18
155.6	2.68E-18	3.02E-18	3.04E-18
155.8	2.73E-18	3.03E-18	3.10E-18
156.0	2.82E-18	3.07E-18	3.23E-18
156.2	2.88E-18	3.15E-18	3.30E-18
156.4	2.93E-18	3.24E-18	3.39E-18
156.6	2.93E-18	3.41E-18	3.47E-18
156.8	3.11E-18	3.46E-18	3.58E-18
