# Wavelength (nm)    Crosssection (cm^2),NOTE: THESE ARE JUST THE CROSS SECTIONS FOR H!
0.5,5.82E-25
1.5,2.23E-23
2.5,1.114E-22
3.5,3.522E-22
4.5,7.908E-22
5.5,1.495E-21
6.5,2.555E-21
7.5,4.592E-21
8.5,6.034E-21
9.5,8.54E-21
10.5,1.166E-20
11.5,1.545E-20
12.5,1.998E-20
13.5,2.531E-20
14.5,3.151E-20
15.5,3.862E-20
16.5,4.671E-20
17.5,5.584E-20
18.5,6.606E-20
19.5,7.743E-20
20.5,8.999E-20
21.5,1.038E-19
22.5,1.189E-19
23.5,1.354E-19
24.5,1.533E-19
25.5,1.726E-19
26.5,1.934E-19
27.5,2.158E-19
28.5,2.398E-19
29.5,2.653E-19
30.5,2.926E-19
31.5,3.215E-19
32.5,3.523E-19
33.5,3.848E-19
34.5,4.192E-19
35.5,4.554E-19
36.5,4.936E-19
37.5,5.337E-19
38.5,5.758E-19
39.5,6.199E-19
40.5,6.661E-19
41.5,7.144E-19
42.5,7.648E-19
43.5,8.174E-19
44.5,8.722E-19
45.5,9.292E-19
46.5,9.884E-19
47.5,1.05E-18
48.5,1.114E-18
49.5,1.18E-18
50.5,1.249E-18
51.5,1.32E-18
52.5,1.393E-18
53.5,1.469E-18
54.5,1.547E-18
55.5,1.628E-18
56.5,1.711E-18
57.5,1.797E-18
58.5,1.885E-18
59.5,1.976E-18
60.5,2.07E-18
61.5,2.166E-18
62.5,2.265E-18
63.5,2.367E-18
64.5,2.471E-18
65.5,2.578E-18
66.5,2.689E-18
67.5,2.801E-18
68.5,2.916E-18
69.5,3.034E-18
70.5,3.155E-18
71.5,3.279E-18
72.5,3.405E-18
73.5,3.535E-18
74.5,3.668E-18
75.5,3.803E-18
76.5,3.941E-18
77.5,4.083E-18
78.5,4.226E-18
79.5,4.374E-18
80.5,4.524E-18
81.5,4.678E-18
82.5,4.833E-18
83.5,4.993E-18
84.5,5.155E-18
85.5,5.321E-18
86.5,5.489E-18
87.5,5.661E-18
88.5,5.835E-18
89.5,6.013E-18
90.5,6.194E-18
91.5,1.207E-18
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,0
104.5,0
105.5,0
106.5,0
107.5,0
108.5,0
109.5,0
110.5,0
111.5,0
112.5,0
113.5,0
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,0
129.5,0
130.5,0
131.5,0
132.5,0
133.5,0
134.5,0
135.5,0
136.5,0
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,0
153.5,0
154.5,0
155.5,0
156.5,0
157.5,0
158.5,0
159.5,0
160.5,0
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,0
177.5,0
178.5,0
179.5,0
180.5,0
181.5,0
182.5,0
183.5,0
184.5,0
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,0
201.5,0
202.5,0
203.5,0
204.5,0
205.5,0
206.5,0
207.5,0
208.5,0
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,0
225.5,0
226.5,0
227.5,0
228.5,0
229.5,0
230.5,0
231.5,0
232.5,0
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
